Part Number,Vos TC (max),Ios (max),BW -3 dB (typ),Ibias (typ),CMRR (min),0.1 to 10 Hz VNoise (typ),1 Hz Vnoise (typ),1 Hz Inoise (typ),Current Noise Density (typ),# of Amps,GBP (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Iq/Amp (typ),Vs span (min),Vs span (max),Package
,V/°C,A,Hz,A,dB,V p-p,V/rtHz,A/rtHz,A/rtHz,,Hz,V/us,V,V/rtHz,A,A,V,V,
AD8668,0.00001,0.0000000000005,,0.0000000000002,90,0.0000025,0.00000017,,,4,4000000,3.5,0.0025,0.000000008,0.000000000001,0.00155,5,16,14-Lead SOIC 14-Lead TSSOP
ADA4860-1,,,800000000,0.0000015,55,,,,0.0000000000077,1,,790,0.013,0.000000004,0.00001,0.006,5,12,6-Lead SOT-23
LT6000,0.000005,0.000000001,,0.000000002,90,,0.00000009,0.00000000000042,0.000000000000025,1,50000,0.015,0.00075,0.000000075,0.000000005,0.000013,1.8,18,6-Lead DFN (2mm x 3mm w/ EP)
LT6411,,,650000000,,,,0.00000036,0.00000000018,,2,650000000,3300,0.01,0.000000008,,0.016,4.5,12.6,16-Lead QFN (3mm x 3mm x 0.75mm w/ EP)
LT6558,,,,,,,,,,3,550000000,2200,0.045,,,0.0225,3,7.5,16-Lead SSOP (Narrow 0.15 Inch) 16-Lead DFN (5mm x 3mm w/ EP)
LTC6244,0.0000025,0.000000000001,,0.000000000001,74,0.0000015,0.000000085,,0.00000000000000056,2,50000000,35,0.0001,0.000000008,0.000000000075,0.00625,2.8,6,8-Lead MSOP 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LTC6244HV,0.0000025,0.000000000001,,0.000000000001,74,0.0000015,0.0000001,,0.00000000000000056,2,50000000,35,0.0001,0.000000008,0.000000000075,0.00625,2.8,12,8-Lead MSOP 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
AD8538,0.0000001,0.00000000005,,0.000000000015,115,0.000002,,,,1,430000,0.4,0.000013,0.00000005,0.000000000025,0.00018,2.7,5,8-Lead SOIC 5-Lead TSOT
AD8613,0.000007,0.0000000000005,,0.0000000000002,68,0.0000023,0.0000002,,0.00000000000005,1,350000,0.1,0.0022,0.000000022,0.000000000001,0.000038,1.8,5,5-Lead SC70 5-Lead TSOT
AD8648,,0.0000000000005,,0.0000000000003,67,0.0000023,0.00000022,,0.000000000000001,4,24000000,11,0.0025,0.000000006,0.000000000001,0.002,2.7,5.5,14-Lead SOIC 14-Lead TSSOP
AD8677,0.0000015,0.000000001,,0.0000000002,120,0.00000025,0.000000019,0.00000000000083,0.000000000000074,1,600000,0.2,0.00013,0.00000001,0.000000001,0.0013,8,36,8-Lead SOIC 5-Lead TSOT
ADA4004-4,0.000001,0.00000006,,0.00000004,110,0.00000015,0.0000000033,0.00000000001,0.0000000000012,4,12000000,2.7,0.000125,0.0000000018,0.00000009,0.0022,10,30,16-Lead LFCSP (4mm x 4mm w/ EP) 14-Lead SOIC
