Part Number,Vos TC (max),Ios (max),BW -3 dB (typ),Ibias (typ),CMRR (min),0.1 to 10 Hz VNoise (typ),1 Hz Vnoise (typ),1 Hz Inoise (typ),Current Noise Density (typ),# of Amps,GBP (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Iq/Amp (typ),Vs span (min),Vs span (max),Package
,V/°C,A,Hz,A,dB,V p-p,V/rtHz,A/rtHz,A/rtHz,,Hz,V/us,V,V/rtHz,A,A,V,V,
LT6232,,0.0000006,,0.000005,95,0.00000018,0.000000025,0.000000000013,0.000000000001,4,215000000,70,0.00035,0.0000000011,0.00001,0.0033,3,12.6,16-Lead SSOP (Narrow 0.15 Inch)
LT6233,,0.0000003,,0.0000015,90,0.00000022,0.000000012,0.0000000000032,0.00000000000043,1,60000000,15,0.0005,0.0000000019,0.000003,0.00115,3,12.6,6-Lead TSOT-23
LT6233-10,,0.0000003,,0.0000015,90,0.00000022,0.000000012,0.0000000000032,0.00000000000043,1,375000000,80,0.0005,0.0000000019,0.000003,0.00115,3,12.6,6-Lead TSOT-23
LT6234,,0.0000003,,0.0000015,90,0.00000022,0.000000012,0.0000000000032,0.00000000000043,2,60000000,17,0.00035,0.0000000019,0.000003,0.00115,3,12.6,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LT6235,,0.0000003,,0.0000015,90,0.00000022,0.000000012,0.0000000000032,0.00000000000043,4,60000000,17,0.00035,0.0000000019,0.000003,0.00115,3,12.6,16-Lead SSOP (Narrow 0.15 Inch)
LT6553,,,,0.000017,,,,,0.000000000004,3,650000000,2500,0.01,0.000000009,0.00005,0.008,4,13.2,16-Lead SSOP (Narrow 0.15 Inch)
AD8028,,0.0000009,190000000,0.000004,90,,0.00000005,0.000000000094,0.0000000000016,2,190000000,100,0.0009,0.0000000043,0.000011,0.0065,2.7,12,CHIPS OR DIE 8-Lead SOIC 10-Lead MSOP
AD8029,,0.0000009,125000000,0.0000017,80,,0.00000037,0.000000000069,0.0000000000011,1,45000000,63,0.005,0.0000000165,0.0000028,0.0014,2.7,12,6-Lead SC70 8-Lead SOIC
AD8030,,0.0000009,125000000,0.0000017,80,,0.00000037,0.000000000069,0.0000000000011,2,45000000,63,0.005,0.0000000165,0.0000028,0.0014,2.7,12,8-Lead SOIC 8-Lead SOT-23
AD8603,,0.0000000000005,,0.0000000000002,85,0.0000023,,,0.00000000000005,1,316000,0.1,0.0003,0.000000022,0.000000000001,0.00005,1.8,5,5-Lead TSOT
AD8671,0.0000005,0.000000012,,0.000000003,100,0.000000077,,0.000000000008,0.0000000000003,1,10000000,4,0.000075,0.0000000028,0.000000012,0.003,8,36,8-Lead SOIC 8-Lead MSOP
LT1803,0.000035,0.000001,,0.000000125,75,0.000004,0.00000025,0.000000000022,0.0000000000025,1,83000000,100,0.002,0.000000021,0.00000075,0.0027,2.3,12.6,8-Lead SOIC (Narrow 0.15 Inch) 5-Lead TSOT-23
LT6012,0.0000008,0.0000000003,,0.00000000002,107,0.0000004,0.000000033,0.00000000000051,0.0000000000001,4,330000,0.09,0.00006,0.000000014,0.0000000003,0.000135,2.4,40,14-Lead SOIC (Narrow 0.15 Inch) 16-Lead SSOP (Narrow 0.15 Inch)
LT6210,,,200000000,,46,,,,0.0000000000045,1,,700,0.006,0.0000000065,,0.0058,3,13.2,6-Lead TSOT-23
LT6220,0.000005,0.0000001,,,85,0.0000005,0.000000063,0.0000000000044,0.0000000000008,1,60000000,20,0.00035,0.00000001,0.00000015,0.0009,2.2,12.6,8-Lead SOIC (Narrow 0.15 Inch) 5-Lead TSOT-23
LT6221,0.000005,0.0000001,,,85,0.0000005,0.000000063,0.0000000000044,0.0000000000008,2,60000000,20,0.00035,0.00000001,0.00000015,0.0009,2.2,12.6,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LT6222,0.000005,0.0000001,,0.000000015,85,0.0000005,0.000000063,0.0000000000044,0.0000000000008,4,60000000,20,0.00035,0.00000001,0.00000015,0.0009,2.2,12.6,16-Lead SSOP (Narrow 0.15 Inch)
LT6552,,0.000005,,0.00002,58,,,,0.0000000000007,1,75000000,600,0.02,0.000000055,0.00005,0.0125,3,12.6,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LT1804,0.000035,0.000001,,0.000000125,75,0.000004,0.00000025,0.000000000022,0.0000000000025,2,83000000,100,0.002,0.000000021,0.00000075,0.0027,2.3,12.6,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LT1805,0.000035,0.000001,,0.000000125,75,0.000004,0.00000025,0.000000000022,0.0000000000025,4,85000000,100,0.002,0.000000021,0.00000075,0.0027,2.3,12.6,14-Lead SOIC (Narrow 0.15 Inch)
LT6011,0.0000008,0.0000000003,,0.00000000002,107,0.0000004,0.000000033,0.00000000000051,0.0000000000001,2,330000,0.09,0.00006,0.000000014,0.0000000003,0.000135,2.4,40,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead MSOP 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LT6206,0.000018,0.000003,,0.000018,78,0.000002,,,0.000000000004,2,100000000,600,0.0045,0.000000009,0.00003,0.004,3,12.6,8-Lead MSOP
AD8027,,0.0000009,190000000,0.000004,90,,0.00000005,0.000000000094,0.0000000000016,1,190000000,100,0.0009,0.0000000043,0.000011,0.0065,2.7,12,8-Lead SOIC 6-Lead SOT-23
AD8627,,0.0000000000005,,0.00000000000025,76,0.0000025,,,0.0000000000000004,1,5000000,5,0.00075,0.000000016,0.000000000001,0.00085,5,26,5-Lead SC70 8-Lead SOIC
LT1678,0.000003,0.000000025,,0.000000002,98,0.00000009,0.0000000071,0.000000000012,0.0000000000003,2,20000000,6,0.0001,0.0000000039,0.00000002,0.002,3,36,8-Lead SOIC (Narrow 0.15 Inch)
LT1679,0.000003,0.000000025,,0.000000002,98,,0.0000000071,0.000000000012,0.0000000000003,4,20000000,6,0.0001,0.0000000039,0.00000002,0.002,3,36,14-Lead SOIC (Narrow 0.15 Inch)
LT6211,,,200000000,,46,,,,0.0000000000045,2,,700,0.006,0.0000000065,,0.0058,3,13.2,10-Lead MSOP 10-Lead DFN (3mm x 3mm w/ EP)
LTC2054,0.00000003,0.0000000003,,0.000000000001,120,0.0000016,,,,1,500000,0.5,0.000003,0.000000085,0.00000000015,0.00014,2.7,6,5-Lead TSOT-23
LTC2054HV,0.00000003,0.0000000003,,0.000000000001,120,0.0000016,,,,1,500000,0.5,0.000003,0.000000085,0.00000000015,0.000175,2.7,11,5-Lead TSOT-23
AD8067,,0.000000000001,54000000,0.000000000001,89,,0.00000025,,0.0000000000000006,1,200000000,640,0.001,0.0000000066,0.000000000005,0.007,5,24,5-Lead SOT-23
AD8608,,0.0000000000005,,0.0000000000002,85,0.0000023,,,0.00000000000001,4,10000000,5,0.000075,0.0000000065,0.000000000001,0.0012,2.7,5,CHIPS OR DIE 14-Lead SOIC 14-Lead TSSOP
LT1218,0.000003,0.000000018,,0.00000003,92,,0.000000088,0.0000000000021,0.00000000000009,1,300000,0.1,0.00009,0.000000033,0.00000007,0.00037,2,36,8-Lead PDIP (Narrow 0.3 Inch) 8-Lead SOIC (Narrow 0.15 Inch)
LT1219,0.000003,0.000000018,,0.00000003,92,,0.000000088,0.0000000000021,0.00000000000009,1,150000,0.05,0.00009,0.000000033,0.00000007,0.00037,2,36,8-Lead PDIP (Narrow 0.3 Inch) 8-Lead SOIC (Narrow 0.15 Inch)
LT1818,0.000015,0.0000008,,0.000002,75,,0.000000065,0.000000000015,0.0000000000012,1,400000000,2500,0.0015,0.000000006,0.000008,0.009,3.5,12.6,8-Lead SOIC (Narrow 0.15 Inch) 5-Lead TSOT-23
AD8008,,,500000000,0.000004,56,,,,0.0000000000225,2,,1000,0.004,0.0000000027,0.000008,0.009,5,12,8-Lead SOIC 8-Lead MSOP
AD8033,,,80000000,0.000000000002,92,,0.00000055,,0.0000000000000007,1,45000000,80,0.002,0.000000011,0.000000000011,0.0033,5,24,5-Lead SC70 8-Lead SOIC
AD8066,,0.00000000001,120000000,0.000000000003,85,,0.00000037,,0.0000000000000006,2,145000000,180,0.0015,0.000000007,0.000000000006,0.0074,5,24,8-Lead SOIC 8-Lead MSOP
AD8510,0.000005,0.000000000075,,0.000000000021,86,,0.0000001,,0.00000000000001,1,8000000,20,0.0004,0.0000000076,0.00000000008,0.0025,9,30,8-Lead SOIC 8-Lead MSOP
AD8515,,0.00000000001,,0.000000000002,60,,,,0.00000000000005,1,5000000,2.7,0.006,0.00000002,0.00000000003,0.0005,1.8,5,5-Lead SC70 5-Lead SOT-23
AD8605,,0.0000000000005,,0.0000000000002,85,0.0000023,,,0.00000000000001,1,10000000,5,0.000065,0.0000000065,0.000000000001,0.0012,2.7,5,5-Ball WLCSP (0.9mm x 1.29mm x 0.55mm) 5-Lead SOT-23
LT1819,0.000015,0.0000008,,0.000002,75,,0.000000065,0.000000000015,0.0000000000012,2,400000000,2500,0.0015,0.000000006,0.000008,0.009,3.5,12.6,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead MSOP
LT6200,,0.000007,,0.00001,68,0.0000006,0.0000001,0.000000000073,0.0000000000022,1,165000000,44,0.004,0.00000000095,0.00004,0.02,2.5,12.6,8-Lead SOIC (Narrow 0.15 Inch) 6-Lead TSOT-23
LT6200-10,,0.000007,,0.00001,68,0.0000006,0.0000001,0.000000000073,0.0000000000022,1,1450000000,340,0.004,0.00000000095,0.00004,0.02,2.5,12.6,8-Lead SOIC (Narrow 0.15 Inch) 6-Lead TSOT-23
LT6200-5,,0.000007,,0.00001,68,0.0000006,0.0000001,0.000000000073,0.0000000000022,1,750000000,210,0.004,0.00000000095,0.00004,0.02,2.5,12.6,8-Lead SOIC (Narrow 0.15 Inch) 6-Lead TSOT-23
LT6202,,0.000001,,0.0000013,65,0.0000008,0.00000012,0.000000000027,0.00000000000075,1,100000000,25,0.0005,0.0000000019,0.000007,0.0028,2.5,12.6,8-Lead SOIC (Narrow 0.15 Inch) 5-Lead TSOT-23
LT6203,,0.000001,,0.0000013,65,0.0000008,0.00000012,0.000000000027,0.00000000000075,2,100000000,25,0.0005,0.0000000019,0.000007,0.0028,2.5,12.6,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead MSOP 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LT6204,,0.000001,,0.0000013,65,0.0000008,0.00000012,0.000000000027,0.00000000000075,4,100000000,25,0.0005,0.0000000019,0.000007,0.0028,2.5,12.6,14-Lead SOIC (Narrow 0.15 Inch) 16-Lead SSOP (Narrow 0.15 Inch)
LT6550,,,,0.000015,,,,,0.000000000008,3,110000000,340,0.035,0.000000012,0.000065,0.0095,3,12.6,10-Lead MSOP
LT6551,,,,0.000015,,,,,0.000000000008,4,110000000,340,0.035,0.000000012,0.000065,0.0095,3,12.6,10-Lead MSOP
AD8007,,,500000000,0.0000004,56,,,,0.0000000000225,1,,1000,0.004,0.0000000027,0.000006,0.009,5,12,5-Lead SC70 8-Lead SOIC
AD8034,,,80000000,0.000000000002,92,,0.00000055,,0.0000000000000007,2,45000000,80,0.002,0.000000011,0.000000000011,0.0033,5,24,8-Lead SOIC 8-Lead SOT-23 CHIPS OR DIE
AD8038,,,350000000,0.0000004,61,,,,0.0000000000006,1,100000000,425,0.003,0.000000008,0.00000075,0.001,3,12,5-Lead SC70 8-Lead SOIC
AD8065,,0.00000000001,145000000,0.000000000003,100,,0.00000037,,0.0000000000000006,1,145000000,180,0.0015,0.000000007,0.000000000006,0.0074,5,24,CHIPS OR DIE 8-Lead SOIC 5-Lead SOT-23
AD8091,,0.00000075,110000000,0.0000014,72,,0.00000049,0.000000000036,0.0000000000006,1,50000000,170,0.011,0.000000016,0.0000026,0.0055,3,12,8-Lead SOIC 5-Lead SOT-23
AD8092,,0.00000075,110000000,0.0000014,72,,0.00000049,0.000000000036,0.0000000000009,2,50000000,170,0.011,0.000000016,0.0000026,0.0048,3,12,8-Lead SOIC 8-Lead MSOP
AD8606,,0.0000000000005,,0.0000000000002,85,0.0000023,,,0.00000000000001,2,10000000,5,0.000065,0.0000000065,0.000000000001,0.0012,2.7,5,8-Ball WLCSP (1.43mm x 1.775mm) 8-Lead SOIC 8-Lead MSOP
AD8620,,0.00000000001,,0.000000000002,90,0.0000018,0.0000002,,0.000000000000005,2,25000000,60,0.00015,0.000000006,0.00000000001,0.0035,10,26,8-Lead SOIC
AD8628,0.00000002,0.0000000002,,0.00000000003,120,0.0000005,,,0.000000000000005,1,2500000,1,0.000005,0.000000022,0.0000000001,0.00085,2.7,5.5,8-Lead SOIC 5-Lead SOT-23 5-Lead TSOT
LT1722,0.000007,0.0000003,,0.00000004,80,,0.00000009,0.0000000000029,0.0000000000012,1,200000000,70,0.0004,0.0000000038,0.0000003,0.0037,4.6,12.6,8-Lead SOIC (Narrow 0.15 Inch) 5-Lead TSOT-23
LT1723,0.000007,0.0000003,,0.00000004,80,,0.00000009,0.0000000000029,0.0000000000012,2,200000000,70,0.0004,0.0000000038,0.0000003,0.0037,4.6,12.6,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead MSOP
LT1724,0.000007,0.0000003,,0.00000004,80,,0.00000009,0.0000000000029,0.0000000000012,4,200000000,70,0.0004,0.0000000038,0.0000003,0.0037,4.6,12.6,14-Lead SOIC (Narrow 0.15 Inch)
LT1801,,0.0000002,,0.000000025,85,0.0000014,0.00000047,0.0000000000059,0.000000000001,2,80000000,25,0.00035,0.0000000085,0.00000025,0.0016,2.3,12.6,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead MSOP 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LT1802,,0.0000002,,0.000000025,85,0.0000014,0.00000047,0.0000000000059,0.000000000001,4,80000000,25,0.00035,0.0000000085,0.00000025,0.0016,2.3,12.6,14-Lead SOIC (Narrow 0.15 Inch)
LT1970,,,,0.00000016,92,0.000003,,,0.000000000003,1,3600000,1.6,0.0006,0.000000015,,0.007,5,36,20-Lead TSSOP w/ EP
OP4177,0.0000009,,,0.0000000005,120,0.0000004,,,0.0000000000002,4,1300000,0.7,0.000075,0.0000000079,,0.0005,5,30,14-Lead SOIC 14-Lead TSSOP
AD8039,,,350000000,0.0000004,61,,,,0.0000000000006,2,100000000,425,0.003,0.000000008,0.00000075,0.001,3,12,8-Lead SOIC 8-Lead SOT-23
AD8512,0.000005,0.000000000075,,0.000000000021,86,,0.0000001,,0.00000000000001,2,8000000,20,0.0004,0.0000000076,0.00000000008,0.0025,9,30,8-Lead SOIC 8-Lead MSOP
LT6201,,0.000007,,0.00001,68,0.0000006,0.0000001,0.000000000073,0.0000000000022,2,165000000,50,0.004,0.00000000095,0.00004,0.02,2.5,12.6,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
AD8565,,0.00000008,,0.00000008,54,,0.00000024,0.0000000000036,0.0000000000008,1,5000000,6,0.01,0.000000025,0.0000006,0.00085,4,17,5-Lead SC70
AD8566,,0.00000008,,0.00000008,54,,0.00000024,0.0000000000036,0.0000000000008,2,5000000,6,0.01,0.000000025,0.0000006,0.00085,4,17,8-Lead MSOP
AD8610,,0.00000000001,,0.000000000002,90,0.0000018,0.0000002,,0.000000000000005,1,25000000,60,0.0001,0.000000006,0.00000000001,0.0035,10,26,8-Lead SOIC 8-Lead MSOP
LT1739,,0.0000005,200000000,0.0000001,74,,0.000000018,0.0000000000076,0.0000000000008,2,200000000,600,0.005,0.000000008,0.000004,0.01,8,27,20-Lead TSSOP w/ EP 12-Lead DFN (4mm x 3mm w/ EP)
LT1800,0.000005,0.0000002,,0.000000025,85,0.0000014,0.00000047,0.000000000006,0.000000000001,1,80000000,25,0.00035,0.0000000085,0.00000025,0.0016,2.3,12.6,8-Lead SOIC (Narrow 0.15 Inch) 5-Lead TSOT-23
LT1816,0.000015,0.0000008,350000000,0.000002,75,,0.000000064,0.00000000002,0.0000000000013,2,220000000,1500,0.0015,0.000000006,0.000008,0.0065,2.5,12.6,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead MSOP 10-Lead MSOP 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LT1817,0.000015,0.0000008,350000000,0.000002,75,,0.000000064,0.00000000002,0.0000000000013,4,220000000,1500,0.0015,0.000000006,0.000008,0.0065,2.5,12.6,14-Lead SOIC (Narrow 0.15 Inch) 16-Lead SSOP (Narrow 0.15 Inch)
LT6300,,0.0000005,200000000,0.0000001,74,,0.000000018,0.0000000000076,0.0000000000008,2,200000000,600,0.005,0.000000008,0.000004,0.01,8,27,16-Lead SSOP (Narrow 0.15 Inch)
OP2177,0.0000007,,,0.0000000005,120,0.0000004,,,0.0000000000002,2,1300000,0.7,0.000075,0.0000000079,,0.0004,5,30,8-Lead SOIC 8-Lead MSOP
AD8021,,0.0000005,560000000,0.000008,86,,0.00000016,0.00000000017,0.0000000000021,1,1000000000,130,0.001,0.0000000021,0.0000105,0.0078,4.5,24,8-Lead SOIC 8-Lead MSOP
OP1177,0.0000007,,,0.0000000005,125,0.0000004,,,0.0000000000002,1,1300000,0.7,0.00006,0.0000000079,,0.0004,5,30,8-Lead SOIC 8-Lead MSOP
LT1794,,0.0000005,200000000,0.0000001,74,,0.000000018,0.0000000000077,0.0000000000008,2,200000000,600,0.005,0.000000008,0.000004,0.01,8,36,20-Lead SOIC (Wide 0.3 Inch) 20-Lead TSSOP w/ EP
LT1814,0.000015,0.0000004,,0.0000009,75,,0.000000087,0.000000000014,0.000000000001,4,100000000,750,0.0015,0.000000008,0.000004,0.003,2.5,12.5,14-Lead SOIC (Narrow 0.15 Inch) 16-Lead SSOP (Narrow 0.15 Inch)
LT1815,0.000015,0.0000008,350000000,0.000002,75,,0.000000064,0.00000000002,0.0000000000013,1,220000000,1500,0.0015,0.000000006,0.000008,0.0065,4,12.6,8-Lead SOIC (Narrow 0.15 Inch) 5-Lead TSOT-23 6-Lead TSOT-23
LT1880,0.0000012,0.0000000009,,0.00000000015,116,0.0000005,0.000000036,0.0000000000004,0.00000000000007,1,1100000,0.55,0.00015,0.000000013,0.0000000009,0.0012,2.4,40,5-Lead TSOT-23
LT1969,0.000017,0.0000004,,0.0000015,77,,,,0.000000000002,2,700000000,200,0.004,0.000000006,0.000004,0.007,4,13.2,10-Lead MSOP
AD8074,,,600000000,0.000005,,,,,,3,600000000,1600,0.027,0.0000000195,0.0000095,0.024,9,11,16-Lead TSSOP
AD8075,,,550000000,0.000005,,,,,,3,550000000,1350,0.04,0.000000022,0.00001,0.024,9,11,16-Lead TSSOP
LT1494,,0.0000000001,,0.00000000025,100,0.000004,0.00000023,0.000000000000058,0.00000000000001,1,2700,0.001,0.000375,0.000000185,0.000000001,0.000001,2.1,36,8-Lead PDIP (Narrow 0.3 Inch) 8-Lead SOIC (Narrow 0.15 Inch) 8-Lead MSOP
LT1672,0.000002,0.0000000001,,0.00000000025,90,0.000004,0.00000023,0.000000000000057,0.00000000000001,1,12000,0.005,0.000375,0.000000185,0.000000001,0.0000015,2.1,36,8-Lead PDIP (Narrow 0.3 Inch) 8-Lead SOIC (Narrow 0.15 Inch) 8-Lead MSOP
LT1673,0.000002,0.0000000001,,0.00000000025,90,0.000004,0.00000023,0.000000000000057,0.00000000000001,2,12000,0.005,0.000375,0.000000185,0.000000001,0.0000015,2.1,36,8-Lead PDIP (Narrow 0.3 Inch) 8-Lead SOIC (Narrow 0.15 Inch)
LT1674,0.000002,0.0000000001,,0.00000000025,90,0.000004,0.00000023,0.000000000000057,0.00000000000001,4,12000,0.005,0.000375,0.000000185,0.000000001,0.0000015,2.1,36,14-Lead PDIP (Narrow 0.3 Inch) 14-Lead SOIC (Narrow 0.15 Inch)
LT6301,,0.0000005,200000000,0.0000001,74,,0.000000018,0.0000000000077,0.0000000000008,4,200000000,600,0.005,0.000000008,0.000004,0.004,8,27,28-Lead TSSOP w/ EP
AD8567,,0.00000008,,0.00000008,54,,0.00000024,0.0000000000036,0.0000000000008,4,5000000,6,0.01,0.000000025,0.0000006,0.00085,4,17,16-Lead LFCSP (4mm x 4mm w/ EP) 14-Lead TSSOP
AD8601,,0.00000000003,,0.0000000000002,74,,,,0.00000000000005,1,8400000,6,0.0005,0.000000018,0.00000000006,0.00075,2.7,5.5,5-Lead SOT-23
AD8604,,0.00000000003,,0.0000000000002,74,,,,0.00000000000005,4,8400000,6,0.0006,0.000000018,0.00000000006,0.00075,2.7,5.5,14-Lead SOIC 16-Lead QSOP 14-Lead TSSOP
LT1797,0.00002,0.000000025,,0.00000015,88,0.0000015,0.0000002,0.000000000003,0.00000000000015,1,10000000,2.25,0.0015,0.00000002,0.0000003,0.0011,2.1,12.6,5-Lead TSOT-23
LTC2050,0.00000003,0.0000000003,,0.00000000002,120,0.0000015,,,0.000000000000003,1,3000000,2,0.000003,,0.000000000075,0.0008,2.7,6,8-Lead SOIC (Narrow 0.15 Inch) 5-Lead TSOT-23 6-Lead TSOT-23
LTC2052,,0.00000000015,,0.000000000025,120,0.0000015,,,,4,3000000,2,0.000003,,0.000000000075,0.00085,2.7,6,14-Lead SOIC (Narrow 0.15 Inch) 16-Lead SSOP (Narrow 0.15 Inch)
LTC2052HV,0.00000003,0.00000000015,,0.000000000025,120,0.0000015,,,,4,3000000,2,0.000003,,0.000000000075,0.00085,2.7,11,14-Lead SOIC (Narrow 0.15 Inch) 16-Lead SSOP (Narrow 0.15 Inch)
OP727,0.0000015,0.000000002,,0.0000000055,110,0.0000004,,,0.00000000000013,2,700000,0.2,0.0003,0.000000015,0.00000001,0.00029,3,30,8-Lead SOIC 8-Lead TSSOP
OP747,0.0000015,0.000000002,,0.0000000055,110,0.0000004,,,0.00000000000013,4,700000,0.2,0.0003,0.000000015,0.00000001,0.00029,3,30,14-Lead SOIC 14-Lead TSSOP
AD8018,,,130000000,0.000001,51,,,,0.00000000001,2,,300,0.015,0.0000000045,0.000008,0.009,3.3,8,8-Lead SOIC 14-Lead TSSOP
AD8602,,0.00000000003,,0.0000000000002,74,,,,0.00000000000005,2,8400000,6,0.0005,0.000000018,0.00000000006,0.00075,2.7,5.5,8-Lead SOIC 8-Lead MSOP
LT1491A,,,,0.000000001,84,0.000001,0.00000011,0.00000000000012,0.000000000000015,4,180000,0.06,0.001,0.00000005,,0.00004,2,44,14-Lead PDIP (Narrow 0.3 Inch) 14-Lead SOIC (Narrow 0.15 Inch) 16-Lead DFN (5mm x 3mm w/ EP)
LT1806,0.000005,0.0000000006,,0.000001,79,0.0000008,,,0.0000000000015,1,325000000,125,0.00055,0.0000000035,0.000004,0.009,2.5,12.6,8-Lead SOIC (Narrow 0.15 Inch) 6-Lead TSOT-23
LT1395,,,400000000,,42,,,,0.000000000006,1,,800,0.012,0.0000000045,,0.0046,3,12.6,8-Lead SOIC (Narrow 0.15 Inch) 5-Lead TSOT-23 6-Lead TSOT-23
LT1469,0.000003,0.00000005,,0.000000003,96,0.0000003,0.000000029,0.0000000000027,0.0000000000006,2,90000000,22,0.000125,0.000000005,0.00000004,0.0041,6,36,8-Lead PDIP (Narrow 0.3 Inch) 8-Lead SOIC (Narrow 0.15 Inch) 12-Lead DFN (4mm x 4mm w/ EP)
LT1490A,,,,0.000000001,84,0.000001,0.00000011,0.00000000000012,0.000000000000015,2,180000,0.06,0.0005,0.00000005,0.000000008,0.00004,2,44,8-Lead PDIP (Narrow 0.3 Inch) 8-Lead SOIC (Narrow 0.15 Inch) 8-Lead MSOP 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LT1677,0.0000015,0.000000015,,0.000000002,109,0.00000009,0.000000016,0.0000000000044,0.0000000000003,1,7200000,2.5,0.00006,0.0000000032,0.00000002,0.00275,2.5,44,8-Lead PDIP (Narrow 0.3 Inch) 8-Lead SOIC (Narrow 0.15 Inch)
LT1809,0.000025,0.0000012,,0.0000018,66,0.000008,0.00000045,0.0000000002,0.000000000005,1,160000000,300,0.0025,0.000000016,0.000008,0.0125,2.5,12.6,8-Lead SOIC (Narrow 0.15 Inch) 6-Lead TSOT-23
LT1881,0.0000008,0.0000000002,,0.0000000001,106,0.0000005,0.000000043,0.00000000000017,0.00000000000003,2,1000000,0.35,0.00005,0.000000014,0.0000000002,0.00065,2.4,40,8-Lead PDIP (Narrow 0.3 Inch) 8-Lead SOIC (Narrow 0.15 Inch)
LT1882,0.0000008,0.0000000005,,0.00000000015,106,0.0000005,0.000000043,0.00000000000017,0.0000000000003,4,1000000,0.35,0.00008,0.000000014,0.0000000005,0.00065,2.4,40,14-Lead SOIC (Narrow 0.15 Inch)
LT1884,0.0000008,0.0000000003,,0.0000000001,108,0.0000004,0.000000021,0.0000000000004,0.00000000000005,2,2000000,0.9,0.00005,0.0000000095,0.0000000004,0.00065,2.4,40,8-Lead PDIP (Narrow 0.3 Inch) 8-Lead SOIC (Narrow 0.15 Inch)
LT1885,0.0000008,0.0000000009,,0.00000000015,108,0.0000004,0.000000021,0.0000000000004,0.00000000000005,4,2000000,0.9,0.00008,0.0000000095,0.0000000009,0.00065,2.4,40,14-Lead SOIC (Narrow 0.15 Inch)
LTC2051,,0.00000000015,,0.000000000025,120,0.0000015,,,,2,3000000,2,0.000003,,0.000000000075,0.00085,2.7,6,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead MSOP 10-Lead MSOP 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LTC2051HV,0.00000003,0.00000000015,,0.000000000025,120,0.0000015,,,,2,3000000,2,0.000003,,0.000000000075,0.00085,2.7,11,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead MSOP 10-Lead MSOP 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
OP777,0.0000013,0.000000002,,0.0000000055,110,0.0000004,,,0.00000000000013,1,700000,0.2,0.0002,0.000000015,0.00000001,0.00035,3,30,8-Lead SOIC 8-Lead MSOP
AD8024,,,200000000,0.000001,62,,,,0.000000000008,4,,390,0.005,0.000000003,0.0000075,0.017,5,24,16-Lead SOIC
LT1397,,,400000000,,42,,,,0.000000000006,4,,800,0.012,0.0000000045,,0.0046,3,12.6,14-Lead SOIC (Narrow 0.15 Inch) 16-Lead SSOP (Narrow 0.15 Inch) 14-Lead DFN (4mm x 3mm w/ EP)
LT1784,0.000015,0.00000005,,0.00000025,84,0.0000015,0.000000081,0.0000000000014,0.0000000000003,1,2500000,2.1,0.0035,0.000000025,0.0000005,0.0005,2,18,5-Lead TSOT-23 6-Lead TSOT-23
LT1807,0.000005,0.0000006,,0.000001,79,0.0000008,,,0.0000000000015,2,325000000,125,0.00055,0.0000000035,0.000004,0.009,2.5,12.6,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead MSOP
LT1810,0.000025,0.0000012,,0.0000018,66,0.000008,0.00000045,0.0000000002,0.000000000005,2,160000000,300,0.0025,0.000000016,0.000008,0.0125,2.3,12.6,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead MSOP
AD8022,,,130000000,0.0000025,98,,0.00000015,0.000000000046,0.0000000000012,2,100000000,50,0.006,0.0000000025,0.000005,0.004,4.5,26,8-Lead SOIC 8-Lead MSOP
AD8061,,0.00000045,320000000,0.0000035,62,,,,0.0000000000012,1,90000000,650,0.006,0.0000000085,0.000009,0.0095,2.7,8,8-Lead SOIC 5-Lead SOT-23
AD8062,,0.00000045,320000000,0.0000035,62,,,,0.0000000000012,2,90000000,650,0.006,0.0000000085,0.000009,0.0095,2.7,8,8-Lead SOIC 8-Lead MSOP
