Part Number,Current Noise Density (typ),Analog.com Inventory,# of Amps,GBP (typ),BW -3 dB (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Rail to Rail,Iq/Amp (typ),Vs span (min),Vs span (max),1ku List Price,Package Area,Package
,A/rtHz,,,Hz,Hz,V/us,V,V/rtHz,A,,A,V,V,$ US,mm²,
LT1803,2.5p,1,1,83M,,100,2m,21n,750n,Both,2.7m,2.3,12.6,$2.32500 (LT1803CS5#TRMPBF),8.12mm² (5-Lead TSOT-23) (LT1803CS5#TRPBF),"8-Lead SOIC (Narrow 0.15 Inch),5-Lead TSOT-23"
LT6012,100f,0,4,330k,,90m,60µ,14n,300p,Output,135µ,2.4,40,$5.31000 (LT6012CS#PBF),30.85364mm² (16-Lead SSOP (Narrow 0.15 Inch)) (LT6012ACGN#PBF),"14-Lead SOIC (Narrow 0.15 Inch),16-Lead SSOP (Narrow 0.15 Inch)"
LT6210,4.5p,0,1,,200M,700,6m,6.5n,,Output,5.8m,3,13.2,$2.14500 (LT6210CS6#TRPBF),8.12mm² (6-Lead TSOT-23) (LT6210CS6#TRMPBF),6-Lead TSOT-23
LT6220,800f,2012,1,60M,,20,350µ,10n,150n,Both,900µ,2.2,12.6,$2.14500 (LT6220CS5#TRMPBF),8.12mm² (5-Lead TSOT-23) (LT6220CS5#TRMPBF),"8-Lead SOIC (Narrow 0.15 Inch),5-Lead TSOT-23"
LT6221,800f,945,2,60M,,20,350µ,10n,150n,Both,900µ,2.2,12.6,$3.37500 (LT6221CS8#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT6221CDD#PBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LT6222,800f,320,4,60M,,20,350µ,10n,150n,Both,900µ,2.2,12.6,$5.31000 (LT6222CGN#TRPBF),30.85364mm² (16-Lead SSOP (Narrow 0.15 Inch)) (LT6222CGN#TRPBF),16-Lead SSOP (Narrow 0.15 Inch)
LT6552,700f,3007,1,75M,,600,20m,55n,50µ,Output,12.5m,3,12.6,$2.05500 (LT6552CS8#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT6552CDD#TRPBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LT1804,2.5p,0,2,83M,,100,2m,21n,750n,Both,2.7m,2.3,12.6,$3.54000 (LT1804CS8#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT1804IDD#PBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LT1805,2.5p,0,4,85M,,100,2m,21n,750n,Both,2.7m,2.3,12.6,$6.28500 (LT1805CS#PBF),54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1805CS#TRPBF),14-Lead SOIC (Narrow 0.15 Inch)
LT6011,100f,15788,2,330k,,90m,60µ,14n,300p,Output,135µ,2.4,40,$3.01500 (LT6011CS8#TRPBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT6011ACDD#PBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP,8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LT6206,4p,146,2,100M,,600,4.5m,9n,30µ,"In to V-, Output",4m,3,12.6,$1.96500 (LT6206CMS8#PBF),14.7mm² (8-Lead MSOP) (LT6206CMS8#PBF),8-Lead MSOP
AD8027,1.6p,9822,1,190M,190M,100,900µ,4.3n,11µ,Both,6.5m,2.7,12,$2.11500 (AD8027ARTZ-REEL7),9mm² (6-Lead SOT-23) (AD8027ARTZ-R2),"8-Lead SOIC,6-Lead SOT-23"
AD8627,400a,7703,1,5M,,5,750µ,16n,1p,"In to V-, Output",850µ,5,26,$2.82000 (AD8627AKSZ-REEL7),5.28mm² (5-Lead SC70) (AD8627AKSZ-REEL),"5-Lead SC70,8-Lead SOIC"
LT1678,300f,85,2,20M,,6,100µ,3.9n,20n,Both,2m,3,36,$4.53000 (LT1678CS8#TRPBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1678CS8#PBF),8-Lead SOIC (Narrow 0.15 Inch)
LT1679,300f,0,4,20M,,6,100µ,3.9n,20n,Both,2m,3,36,$6.90000 (LT1679CS#TRPBF),54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1679IS#PBF),14-Lead SOIC (Narrow 0.15 Inch)
LT6211,4.5p,143,2,,200M,700,6m,6.5n,,Output,5.8m,3,13.2,$2.94000 (LT6211CMS#PBF),9mm² (10-Lead DFN (3mm x 3mm w/ EP)) (LT6211CDD#PBF),"10-Lead MSOP,10-Lead DFN (3mm x 3mm w/ EP)"
LTC2054,,4618,1,500k,,500m,3µ,85n,150p,"In to V-, Output",140µ,2.7,6,$1.80000 (LTC2054CS5#TRPBF),8.12mm² (5-Lead TSOT-23) (LTC2054CS5#TRMPBF),5-Lead TSOT-23
LTC2054HV,,4618,1,500k,,500m,3µ,85n,150p,"In to V-, Output",175µ,2.7,11,$1.80000 (LTC2054CS5#TRPBF),8.12mm² (5-Lead TSOT-23) (LTC2054CS5#TRMPBF),5-Lead TSOT-23
AD8067,600a,0,1,200M,54M,640,1m,6.6n,5p,"In to V-, Output",7m,5,24,$3.34500 (AD8067ARTZ-REEL7),9mm² (5-Lead SOT-23) (AD8067ARTZ-REEL7),5-Lead SOT-23
AD8608,10f,41002,4,10M,,5,75µ,6.5n,1p,Both,1.2m,2.7,5,$3.67500 (AD8608ARUZ),32.64mm² (14-Lead TSSOP) (AD8608ARUZ-REEL),"CHIPS OR DIE,14-Lead SOIC,14-Lead TSSOP"
LT1218,90f,326,1,300k,,100m,90µ,33n,70n,Both,370µ,2,36,$7.62000 (LT1218CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1218CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1219,90f,69,1,150k,,50m,90µ,33n,70n,Both,370µ,2,36,$8.04000 (LT1219CS8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1219CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1818,1.2p,718,1,400M,,2.5k,1.5m,6n,8µ,,9m,3.5,12.6,$1.71000 (LT1818CS5#TRPBF),8.12mm² (5-Lead TSOT-23) (LT1818CS5#TRMPBF),"8-Lead SOIC (Narrow 0.15 Inch),5-Lead TSOT-23"
AD8008,22.5p,14,2,,500M,1k,4m,2.7n,8µ,,9m,5,12,$4.20000 (AD8008ARMZ),31mm² (8-Lead SOIC) (AD8008ARZ),"8-Lead SOIC,8-Lead MSOP"
AD8033,700a,9206,1,45M,80M,80,2m,11n,11p,"In to V-, Output",3.3m,5,24,$1.99500 (AD8033AKSZ-REEL7),5.28mm² (5-Lead SC70) (AD8033AKSZ-REEL7),"5-Lead SC70,8-Lead SOIC"
AD8066,600a,13101,2,145M,120M,180,1.5m,7n,6p,"In to V-, Output",7.4m,5,24,$4.41000 (AD8066ARMZ),31mm² (8-Lead SOIC) (AD8066ARZ-R7),"8-Lead SOIC,8-Lead MSOP"
AD8510,10f,32473,1,8M,,20,400µ,7.6n,80p,,2.5m,9,30,$2.05500 (AD8510ARMZ-REEL),31mm² (8-Lead SOIC) (AD8510ARZ),"8-Lead SOIC,8-Lead MSOP"
AD8515,50f,0,1,5M,,2.7,6m,20n,30p,Both,500µ,1.8,5,$0.54060 (AD8515ARTZ-REEL7),5.28mm² (5-Lead SC70) (AD8515AKSZ-REEL7),"5-Lead SC70,5-Lead SOT-23"
AD8605,10f,23354,1,10M,,5,65µ,6.5n,1p,Both,1.2m,2.7,5,$1.38330 (AD8605ARTZ-REEL7),1.2502mm² (5-Ball WLCSP (0.9mm x 1.29mm x 0.55mm)) (AD8605ACBZ-REEL7),"5-Ball WLCSP (0.9mm x 1.29mm x 0.55mm),5-Lead SOT-23"
LT1819,1.2p,5469,2,400M,,2.5k,1.5m,6n,8µ,,9m,3.5,12.6,$2.94000 (LT1819CMS8#TRPBF),14.7mm² (8-Lead MSOP) (LT1819IMS8#PBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP"
LT6200,2.2p,1410,1,165M,,44,4m,950p,40µ,Both,20m,2.5,12.6,$2.68500 (LT6200CS6-10#TRMPBF),8.12mm² (6-Lead TSOT-23) (LT6200CS6#TRPBF),"8-Lead SOIC (Narrow 0.15 Inch),6-Lead TSOT-23"
LT6200-10,2.2p,1410,1,1.45G,,340,4m,950p,40µ,Both,20m,2.5,12.6,$2.68500 (LT6200CS6-10#TRMPBF),8.12mm² (6-Lead TSOT-23) (LT6200CS6#TRPBF),"8-Lead SOIC (Narrow 0.15 Inch),6-Lead TSOT-23"
LT6200-5,2.2p,1410,1,750M,,210,4m,950p,40µ,Both,20m,2.5,12.6,$2.68500 (LT6200CS6-10#TRMPBF),8.12mm² (6-Lead TSOT-23) (LT6200CS6#TRPBF),"8-Lead SOIC (Narrow 0.15 Inch),6-Lead TSOT-23"
LT6202,750f,2929,1,100M,,25,500µ,1.9n,7µ,Both,2.8m,2.5,12.6,$2.67000 (LT6202CS8#PBF),8.12mm² (5-Lead TSOT-23) (LT6202IS5#TRMPBF),"8-Lead SOIC (Narrow 0.15 Inch),5-Lead TSOT-23"
LT6203,750f,13072,2,100M,,25,500µ,1.9n,7µ,Both,2.8m,2.5,12.6,$4.42500 (LT6203CS8#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT6203CDD#PBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP,8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LT6204,750f,0,4,100M,,25,500µ,1.9n,7µ,Both,2.8m,2.5,12.6,$8.05500 (LT6204CS#PBF),30.85364mm² (16-Lead SSOP (Narrow 0.15 Inch)) (LT6204IGN#PBF),"14-Lead SOIC (Narrow 0.15 Inch),16-Lead SSOP (Narrow 0.15 Inch)"
LT6550,8p,40,3,110M,,340,35m,12n,65µ,"In to V-, Output",9.5m,3,12.6,$3.19500 (LT6550CMS#TRPBF),14.7mm² (10-Lead MSOP) (LT6550IMS#TRPBF),10-Lead MSOP
LT6551,8p,119,4,110M,,340,35m,12n,65µ,"In to V-, Output",9.5m,3,12.6,$3.54000 (LT6551CMS#PBF),14.7mm² (10-Lead MSOP) (LT6551CMS#PBF),10-Lead MSOP
AD8007,22.5p,1939,1,,500M,1k,4m,2.7n,6µ,,9m,5,12,$2.34000 (AD8007AKSZ-REEL7),5.28mm² (5-Lead SC70) (AD8007AKSZ-REEL7),"5-Lead SC70,8-Lead SOIC"
AD8034,700a,24841,2,45M,80M,80,2m,11n,11p,"In to V-, Output",3.3m,5,24,$3.13500 (AD8034ARTZ-REEL7),9mm² (8-Lead SOT-23) (AD8034ARTZ-REEL7),"8-Lead SOIC,8-Lead SOT-23,CHIPS OR DIE"
AD8038,600f,28993,1,100M,350M,425,3m,8n,750n,,1m,3,12,$1.53000 (AD8038AKSZ-REEL7),5.28mm² (5-Lead SC70) (AD8038AKSZ-REEL7),"5-Lead SC70,8-Lead SOIC"
AD8065,600a,35564,1,145M,145M,180,1.5m,7n,6p,"In to V-, Output",7.4m,5,24,$2.83500 (AD8065ARTZ-REEL7),9mm² (5-Lead SOT-23) (AD8065ARTZ-R2),"CHIPS OR DIE,8-Lead SOIC,5-Lead SOT-23"
AD8091,600f,7007,1,50M,110M,170,11m,16n,2.6µ,"In to V-, Output",5.5m,3,12,$1.33719 (AD8091ARTZ-R7),9mm² (5-Lead SOT-23) (AD8091ARTZ-R7),"8-Lead SOIC,5-Lead SOT-23"
AD8092,900f,2311,2,50M,110M,170,11m,16n,2.6µ,"In to V-, Output",4.8m,3,12,$1.69500 (AD8092ARMZ-REEL7),31mm² (8-Lead SOIC) (AD8092ARZ),"8-Lead SOIC,8-Lead MSOP"
AD8606,10f,24375,2,10M,,5,65µ,6.5n,1p,Both,1.2m,2.7,5,$2.52000 (AD8606ARMZ-REEL),2.701mm² (8-Ball WLCSP (1.43mm x 1.775mm)) (AD8606ACBZ-REEL7),"8-Ball WLCSP (1.43mm x 1.775mm),8-Lead SOIC,8-Lead MSOP"
AD8620,5f,18596,2,25M,,60,150µ,6n,10p,,3.5m,10,26,$14.41500 (AD8620ARZ-REEL),31mm² (8-Lead SOIC) (AD8620ARZ-REEL),8-Lead SOIC
AD8628,5f,3217,1,2.5M,,1,5µ,22n,100p,Both,850µ,2.7,5.5,$1.77000 (AD8628ARTZ-REEL7),8.12mm² (5-Lead TSOT) (AD8628WAUJZ-R7),"8-Lead SOIC,5-Lead SOT-23,5-Lead TSOT"
LT1722,1.2p,88,1,200M,,70,400µ,3.8n,300n,,3.7m,4.6,12.6,$1.59000 (LT1722CS5#TRMPBF),8.12mm² (5-Lead TSOT-23) (LT1722CS5#TRPBF),"8-Lead SOIC (Narrow 0.15 Inch),5-Lead TSOT-23"
LT1723,1.2p,2,2,200M,,70,400µ,3.8n,300n,,3.7m,4.6,12.6,$2.13000 (LT1723CMS8#PBF),14.7mm² (8-Lead MSOP) (LT1723CMS8#TRPBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP"
LT1724,1.2p,0,4,200M,,70,400µ,3.8n,300n,,3.7m,4.6,12.6,$4.75500 (LT1724IS#PBF),54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1724CS#PBF),14-Lead SOIC (Narrow 0.15 Inch)
LT1801,1p,130,2,80M,,25,350µ,8.5n,250n,Both,1.6m,2.3,12.6,$3.54000 (LT1801CS8#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT1801CDD#PBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP,8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LT1802,1p,216,4,80M,,25,350µ,8.5n,250n,Both,1.6m,2.3,12.6,$6.28500 (LT1802CS#TRPBF),54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1802CS#PBF),14-Lead SOIC (Narrow 0.15 Inch)
LT1970,3p,0,1,3.6M,,1.6,600µ,15n,,,7m,5,36,$8.95500 (LT1970CFE#PBF),42.24mm² (20-Lead TSSOP w/ EP) (LT1970IFE#PBF),20-Lead TSSOP w/ EP
MAX4238,1f,31798,1,,1M,,2µ,25n,10p,Output Only,600µ,2.7,5.5,$1.16000 (MAX4238ATT+T),9mm² (6-SOT_23-N/A) (MAX4238AUT+),"Small-Outline IC, Narrow (0.15in),Thin Dual Flatpack No Leads, Exposed Pad,6-SOT_23-N/A"
MAX4239,1f,22333,1,,6.5M,,2µ,25n,10p,Output Only,600µ,2.7,5.5,$1.14000 (MAX4239AUT+T),9mm² (6-SOT_23-N/A) (MAX4239AUT/V+T),"Small-Outline IC, Narrow (0.15in),Thin Dual Flatpack No Leads, Exposed Pad,6-SOT_23-N/A"
MAX4385E,2p,,1,,230M,450,28m,11.5n,20µ,Output,5.5m,4.5,5.5,$1.42000 (MAX4385EEUK+T),9mm² (5-SOT_23-N/A) (MAX4385EEUK+),5-SOT_23-N/A
MAX4386E,2p,4,4,,230M,450,28m,11.5n,20µ,Output,5.5m,4.5,5.5,$3.17000 (MAX4386EESD+),"54.25mm² (Small-Outline IC, Narrow (0.15in)) (MAX4386EESD+T)","Small-Outline IC, Narrow (0.15in)"
OP4177,200f,21388,4,1.3M,,700m,75µ,7.9n,2n,,500µ,5,30,$7.66500 (OP4177ARZ),32.64mm² (14-Lead TSSOP) (OP4177ARUZ),"14-Lead SOIC,14-Lead TSSOP"
AD8039,600f,20292,2,100M,350M,425,3m,8n,750n,,1m,3,12,$2.13000 (AD8039ARTZ-REEL7),9mm² (8-Lead SOT-23) (AD8039ARTZ-REEL7),"8-Lead SOIC,8-Lead SOT-23"
AD8512,10f,49231,2,8M,,20,400µ,7.6n,80p,,2.5m,9,30,$2.97000 (AD8512ARZ),31mm² (8-Lead SOIC) (AD8512ARZ-REEL),"8-Lead SOIC,8-Lead MSOP"
LT6201,2.2p,76,2,165M,,50,4m,950p,40µ,Both,20m,2.5,12.6,$6.55500 (LT6201CS8#TRPBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT6201CDD#PBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
MAX4091,1.5p,2480,1,,500k,200m,1.4m,12n,180n,Both,115µ,2.7,6,$1.43000 (MAX4091ASA+T),9mm² (5-SOT_23-N/A) (MAX4091AUK+T),"Small-Outline IC, Narrow (0.15in),5-SOT_23-N/A"
MAX4092,1.5p,2478,2,,500k,200m,1.4m,12n,180n,Both,115µ,2.7,6,$1.12000 (MAX4092AUA+),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4092AUA+T)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4094,1.5p,,4,,500k,200m,1.4m,12n,180n,Both,115µ,2.7,6,$2.03000 (MAX4094ASD+T),33.405mm² (Thin Shrink Small-Outline Package) (MAX4094AUD+),"Small-Outline IC, Narrow (0.15in),Thin Shrink Small-Outline Package"
MAX4232,,3033,2,,10M,10,6m,12n,50p,Both,1.1m,2.7,5.5,$0.74000 (MAX4232AKA+T),9mm² (8-SOT_23-N/A) (MAX4232AKA+TG069),"8-SOT_23-N/A,Micro-MAX, Thin Shrink Small-Outline,N/A"
MAX4234,,8063,4,,10M,10,6m,12n,50p,Both,1.1m,2.7,5.5,$1.53000 (MAX4234AUD+T),33.405mm² (Thin Shrink Small-Outline Package) (MAX4234AUD+T),"Small-Outline IC, Narrow (0.15in),Thin Shrink Small-Outline Package"
MAX4289,,33770,1,,17k,,2m,,15n,Output Only,9µ,1,5.5,$1.27000 (MAX4289ESA+),9mm² (Small-Outline Transistor Package) (MAX4289EUT+),"Small-Outline IC, Narrow (0.15in),Small-Outline Transistor Package"
MAX4389,2.1p,69632,1,,85M,500,26m,13n,15µ,Output,6m,4.5,11,$1.17000 (MAX4389EUT+T),5.28mm² (Single Chip Package) (MAX4389EXT+),"Small-Outline Transistor Package,Single Chip Package"
MAX4390,2.1p,23205,1,,85M,500,26m,13n,15µ,Output,6m,4.5,11,$0.94000 (MAX4390EXT+T),5.28mm² (Single Chip Package) (MAX4390EXT+T),"5-SOT_23-N/A,Single Chip Package"
MAX4392,2.1p,12353,2,,85M,500,26m,13n,15µ,Output,6m,4.5,11,$1.24000 (MAX4392EUA+T),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4392EUA+T)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4393,2.1p,1287,2,,85M,500,26m,13n,15µ,Output,6m,4.5,11,$1.33000 (MAX4393EUB+T),15.4025mm² (10-MINI_SO-N/A) (MAX4393EUB+),10-MINI_SO-N/A
MAX4394,2.1p,7359,3,,85M,500,26m,13n,15µ,Output,6m,4.5,11,$1.62000 (MAX4394ESD+T),33.405mm² (Thin Shrink Small-Outline Package) (MAX4394EUD/V+),"Small-Outline IC, Narrow (0.15in),Thin Shrink Small-Outline Package"
MAX4395,2.1p,12348,4,,85M,500,26m,13n,15µ,Output,6m,4.5,11,$1.84000 (MAX4395ESD+),33.405mm² (Thin Shrink Small-Outline Package) (MAX4395EUD/V+T),"Small-Outline IC, Narrow (0.15in),Thin Shrink Small-Outline Package"
MAX4396,2.1p,3564,4,,85M,500,26m,13n,15µ,Output,6m,4.5,11,$2.00000 (MAX4396EUP+),45.195mm² (Thin Shrink Small-Outline Package) (MAX4396EUP+),Thin Shrink Small-Outline Package
AD8565,800f,23459,1,5M,,6,10m,25n,600n,Both,850µ,4,17,$1.07590 (AD8565AKSZ-REEL7),5.28mm² (5-Lead SC70) (AD8565AKSZ-REEL7),5-Lead SC70
AD8566,800f,65682,2,5M,,6,10m,25n,600n,Both,850µ,4,17,$1.27571 (AD8566ARMZ-REEL),,8-Lead MSOP
AD8610,5f,4073,1,25M,,60,100µ,6n,10p,,3.5m,10,26,$6.63000 (AD8610ARMZ-REEL),31mm² (8-Lead SOIC) (AD8610ARZ-REEL7),"8-Lead SOIC,8-Lead MSOP"
LT1739,800f,0,2,200M,200M,600,5m,8n,4µ,,10m,8,27,$6.37500 (LT1739CFE#TRPBF),12mm² (12-Lead DFN (4mm x 3mm w/ EP)) (LT1739CUE#TRPBF),"20-Lead TSSOP w/ EP,12-Lead DFN (4mm x 3mm w/ EP)"
LT1800,1p,0,1,80M,,25,350µ,8.5n,250n,Both,1.6m,2.3,12.6,$2.32500 (LT1800CS5#TRMPBF),8.12mm² (5-Lead TSOT-23) (LT1800CS5#TRPBF),"8-Lead SOIC (Narrow 0.15 Inch),5-Lead TSOT-23"
LT1816,1.3p,39,2,220M,350M,1.5k,1.5m,6n,8µ,,6.5m,2.5,12.6,$2.76000 (LT1816CS8#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT1816CDD#PBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP,10-Lead MSOP,8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LT1817,1.3p,19,4,220M,350M,1.5k,1.5m,6n,8µ,,6.5m,2.5,12.6,$3.72000 (LT1817CS#TRPBF),30.85364mm² (16-Lead SSOP (Narrow 0.15 Inch)) (LT1817CGN#PBF),"14-Lead SOIC (Narrow 0.15 Inch),16-Lead SSOP (Narrow 0.15 Inch)"
LT6300,800f,0,2,200M,200M,600,5m,8n,4µ,,10m,8,27,$5.13000 (LT6300CGN#PBF),30.85364mm² (16-Lead SSOP (Narrow 0.15 Inch)) (LT6300IGN#TRPBF),16-Lead SSOP (Narrow 0.15 Inch)
MAX4230,,16479,1,,10M,10,6m,12n,50p,Both,1.1m,2.7,5.5,$0.71000 (MAX4230AUK+T),5.28mm² (5-SC70-N/A) (MAX4230AXK+T),"5-SOT_23-N/A,5-SC70-N/A"
MAX4231,,326190,1,,10M,10,6m,12n,50p,Both,1.1m,2.7,5.5,$0.71000 (MAX4231ART+T),5.28mm² (Single Chip Package) (MAX4231AXT+T),"Small-Outline Transistor Package,N/A,Single Chip Package,6-LGA-1.5X1X0.5"
MAX4233,,533,2,,10M,10,6m,12n,50p,Both,1.1m,2.7,5.5,$0.87000 (MAX4233AUB+T),3.2913mm² (12-WLCSP-N/A) (MAX4233ABC+T),"12-WLCSP-N/A,10-MINI_SO-N/A"
MAX4434,2p,,1,,150M,133,3.5m,2.2n,22µ,In to V-,15m,4.5,5.5,$4.48000 (MAX4434EUK+T),9mm² (5-SOT_23-N/A) (MAX4434EUK+),"Small-Outline IC, Narrow (0.15in),5-SOT_23-N/A"
MAX4436,2p,283,2,,150M,133,3.5m,2.2n,22µ,In to V-,15m,4.5,5.5,$5.62000 (MAX4436EUA+),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4436EUA+)","Micro-MAX, Thin Shrink Small-Outline"
MAX4464,,52863,1,,40k,20m,7m,120n,1.5n,Output Only,750n,1.8,5.5,$0.90000 (MAX4464EUK+T),5.28mm² (5-SC70-N/A) (MAX4464EXK+T),"5-SOT_23-N/A,5-SC70-N/A"
MAX4474,,29817,2,,40k,20m,7m,120n,1.5n,Output Only,750n,1.8,5.5,$1.46000 (MAX4474ESA+),9mm² (8-SOT_23-N/A) (MAX4474EKA+T),"8-SOT_23-N/A,Small-Outline IC, Narrow (0.15in)"
MAX4494,200f,66791,2,,5M,3,5m,8n,1µ,Output Only,770µ,4.5,11,$1.31000 (MAX4494AUA+T),9mm² (8-SOT_23-N/A) (MAX4494AKA+),"8-SOT_23-N/A,Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4495,200f,5541,4,,5M,3,5m,8n,1µ,Output Only,770µ,4.5,11,$1.71000 (MAX4495ASD+),33.405mm² (Thin Shrink Small-Outline Package) (MAX4495AUD+),"Small-Outline IC, Narrow (0.15in),Thin Shrink Small-Outline Package"
OP2177,200f,164,2,1.3M,,700m,75µ,7.9n,2n,,400µ,5,30,$3.24000 (OP2177ARMZ-R7),31mm² (8-Lead SOIC) (OP2177ARZ-REEL),"8-Lead SOIC,8-Lead MSOP"
AD8021,2.1p,10113,1,1G,560M,130,1m,2.1n,10.5µ,,7.8m,4.5,24,$2.49000 (AD8021ARMZ-REEL7),31mm² (8-Lead SOIC) (AD8021ARZ),"8-Lead SOIC,8-Lead MSOP"
MAX4236,,134391,1,,1.7M,300m,50µ,14n,500p,Output Only,350µ,2.4,5.5,$1.18000 (MAX4236BEUA+T),9mm² (6-SOT_23-N/A) (MAX4236EUT+),"Small-Outline IC, Narrow (0.15in),6-SOT_23-N/A,Micro-MAX, Thin Shrink Small-Outline"
MAX4236A,,134391,1,,1.7M,300m,20µ,14n,500p,Output Only,350µ,2.4,5.5,$1.18000 (MAX4236BEUA+T),9mm² (6-SOT_23-N/A) (MAX4236EUT+),"Small-Outline IC, Narrow (0.15in),6-SOT_23-N/A,Micro-MAX, Thin Shrink Small-Outline"
MAX4237,,5000,1,,7.5M,1.3,50µ,14n,500p,Output Only,350µ,2.4,5.5,$1.26000 (MAX4237EUT+T),9mm² (6-SOT_23-N/A) (MAX4237EUT+),"6-SOT_23-N/A,Micro-MAX, Thin Shrink Small-Outline"
MAX4237A,,5000,1,,7.5M,1.3,20µ,14n,500p,Output Only,350µ,2.4,5.5,$1.26000 (MAX4237EUT+T),9mm² (6-SOT_23-N/A) (MAX4237EUT+),"6-SOT_23-N/A,Micro-MAX, Thin Shrink Small-Outline"
MAX4335,600f,46052,1,,5M,1.8,3m,26n,400n,Both,1.3m,2.7,5.5,$0.68000 (MAX4335EXT+T),5.28mm² (Single Chip Package) (MAX4335EXT+T),Single Chip Package
MAX4475,500a,40763,1,,10M,3,750µ,4.5n,150p,Output Only,2.5m,2.7,5.5,$1.32000 (MAX4475ASA+),9mm² (6-SOT_23-N/A) (MAX4475AUT/V+T),"Small-Outline IC, Narrow (0.15in),Thin Dual Flatpack No Leads, Exposed Pad,6-SOT_23-N/A,Micro-MAX, Thin Shrink Small-Outline"
MAX4476,500a,1066,1,,10M,3,750µ,4.5n,150p,Output Only,2.5m,2.7,5.5,$1.32000 (MAX4476AUT+T),9mm² (6-SOT_23-N/A) (MAX4476AUT+),"Thin Dual Flatpack No Leads, Exposed Pad,6-SOT_23-N/A"
MAX4478,500a,655,4,,10M,3,750µ,4.5n,150p,Output Only,2.5m,2.7,5.5,$2.07000 (MAX4478ASD+T),33.405mm² (Thin Shrink Small-Outline Package) (MAX4478AUD+T),"Small-Outline IC, Narrow (0.15in),Thin Shrink Small-Outline Package"
MAX4488,500a,18466,1,,42M,10,750µ,4.5n,150p,Output Only,2.5m,2.7,5.5,$0.80000 (MAX4488AUA+T),9mm² (6-SOT_23-N/A) (MAX4488AUT+),"Small-Outline IC, Narrow (0.15in),Thin Dual Flatpack No Leads, Exposed Pad,6-SOT_23-N/A,Micro-MAX, Thin Shrink Small-Outline"
MAX4489,500a,,2,,42M,10,750µ,4.5n,150p,Output Only,2.5m,2.7,5.5,$1.34000 (MAX4489ASA+T),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4489AUA+)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
OP1177,200f,66307,1,1.3M,,700m,60µ,7.9n,2n,,400µ,5,30,$1.59000 (OP1177ARMZ),31mm² (8-Lead SOIC) (OP1177ARZ),"8-Lead SOIC,8-Lead MSOP"
