Part Number,Current Noise Density (typ),Analog.com Inventory,# of Amps,GBP (typ),BW -3 dB (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Rail to Rail,Iq/Amp (typ),Vs span (min),Vs span (max),1ku List Price,Package Area,Package
,A/rtHz,,,Hz,Hz,V/us,V,V/rtHz,A,,A,V,V,$ US,mm²,
ADA4841-1,1.4p,2148,1,35M,80M,13,300µ,2.1n,5.3µ,"In to V-, Output",1.2m,2.7,12,$2.80500 (ADA4841-1YRJZ-R7),9mm² (6-Lead SOT-23) (ADA4841-1YRJZ-R2),"8-Lead SOIC,6-Lead SOT-23"
ADA4862-3,1.4p,300,3,,720M,830,25m,10.6n,1µ,,16m,5,12,$1.92000 (ADA4862-3YRZ),54.25mm² (14-Lead SOIC) (ADA4862-3YRZ),14-Lead SOIC
LT6556,3.5p,0,3,750M,,2.1k,67m,11n,,,9.5m,4.5,12.6,,16mm² (24-Lead QFN (4mm x 4mm x 0.75mm w/ EP)) (LT6556CUF#PBF),"24-Lead SSOP (Narrow 0.15 Inch),24-Lead QFN (4mm x 4mm x 0.75mm w/ EP)"
LTC6078,560a,0,2,750k,,50m,25µ,18n,1p,Both,54µ,2.7,5.5,$2.74500 (LTC6078CDD#PBF),9mm² (10-Lead DFN (3mm x 3mm w/ EP)) (LTC6078CDD#TRPBF),"8-Lead MSOP,10-Lead DFN (3mm x 3mm w/ EP)"
LTC6079,560a,0,4,750k,,50m,25µ,18n,1p,Both,54µ,2.7,5.5,$4.57500 (LTC6079CGN#PBF),15mm² (16-Lead DFN (5mm x 3mm w/ EP)) (LTC6079CDHC#TRPBF),"16-Lead SSOP (Narrow 0.15 Inch),16-Lead DFN (5mm x 3mm w/ EP)"
LTC6241,560a,424,2,18M,,10,125µ,7n,75p,"In to V-, Output",1.8m,2.8,6,$2.31000 (LTC6241CDD#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LTC6241HVIDD#PBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LTC6241HV,560a,424,2,18M,,10,125µ,7n,75p,"In to V-, Output",1.8m,2.8,12,$2.31000 (LTC6241CDD#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LTC6241HVIDD#PBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LTC6242,560a,506,4,18M,,10,125µ,7n,75p,"In to V-, Output",1.8m,2.8,6,$4.08000 (LTC6242CGN#PBF),15mm² (16-Lead DFN (5mm x 3mm w/ EP)) (LTC6242HVCDHC#TRPBF),"16-Lead SSOP (Narrow 0.15 Inch),16-Lead DFN (5mm x 3mm w/ EP)"
LTC6242HV,560a,506,4,18M,,10,125µ,7n,75p,"In to V-, Output",1.8m,2.8,12,$4.08000 (LTC6242CGN#PBF),15mm² (16-Lead DFN (5mm x 3mm w/ EP)) (LTC6242HVCDHC#TRPBF),"16-Lead SSOP (Narrow 0.15 Inch),16-Lead DFN (5mm x 3mm w/ EP)"
MAX9910,1f,2569,1,,200k,100m,1m,400n,10p,Both,4µ,1.8,5.5,$0.59000 (MAX9910EXK+T),5.28mm² (5-SC70-N/A) (MAX9910EXK+),5-SC70-N/A
MAX9911,1f,85760,1,,200k,100m,1m,400n,10p,Both,4µ,1.8,5.5,$0.59000 (MAX9911EWT+T),"1.3289mm² (Wafer-Level Package 3x2 Bump, Full Array) (MAX9911EWT+)","Wafer-Level Package 3x2 Bump, Full Array,Single Chip Package"
MAX9914,1f,849,1,,1M,500m,1m,160n,10p,Both,20µ,1.8,5.5,$0.59000 (MAX9914EXK+T),5.28mm² (5-SC70-N/A) (MAX9914EXK+T),5-SC70-N/A
MAX9915,1f,2,1,,1M,500m,1m,160n,10p,Both,20µ,1.8,5.5,$0.64000 (MAX9915EXT+T),5.28mm² (Single Chip Package) (MAX9915EXT+T),Single Chip Package
AD8642,500a,2770,2,3.5M,,3,750µ,27.5n,1p,"In to V-, Output",290µ,5,26,$4.75500 (AD8642ARMZ-REEL),31mm² (8-Lead SOIC) (AD8642ARZ),"8-Lead SOIC,8-Lead MSOP"
AD8643,500a,417,4,3.5M,,3,750µ,27.5n,1p,"In to V-, Output",290µ,5,26,$7.77000 (AD8643ARZ-REEL7),9mm² (16-Lead LFCSP (3mm x 3mm w/ EP)) (AD8643ACPZ-REEL7),"16-Lead LFCSP (3mm x 3mm w/ EP),14-Lead SOIC"
AD8655,1f,39572,1,28M,,11,250µ,2.7n,10p,Both,4.5m,2.7,5.5,$1.50626 (AD8655ARMZ-REEL),31mm² (8-Lead SOIC) (AD8655ARZ),"8-Lead SOIC,8-Lead MSOP"
AD8694,50f,1381,4,10M,,5,2m,6.5n,1p,"In to V-, Output",1.05m,2.7,5.5,$1.84500 (AD8694ARZ-REEL7),32.64mm² (14-Lead TSSOP) (AD8694ARUZ),"14-Lead SOIC,14-Lead TSSOP"
ADA4850-1,2.5p,63,1,70M,175M,160,4.2m,10n,4.2µ,"In to V-, Output",2.5m,2.7,6,,9mm² (8-Lead LFCSP (3mm x 3mm w/ EP)) (ADA4850-1YCPZ-RL7),8-Lead LFCSP (3mm x 3mm w/ EP)
ADA4850-2,2.5p,721,2,70M,175M,160,4.2m,10n,4.2µ,"In to V-, Output",2.5m,2.7,6,,9mm² (16-Lead LFCSP (3mm x 3mm w/ EP)) (ADA4850-2YCPZ-RL7),16-Lead LFCSP (3mm x 3mm w/ EP)
ADA4851-2,2.5p,3831,2,70M,105M,190,3.5m,10n,4µ,"In to V-, Output",2.9m,2.7,12,$1.44478 (ADA4851-2YRMZ-RL),,8-Lead MSOP
LT6555,3.5p,23,3,650M,,2.2k,16m,9n,,,9m,4.5,12.6,$4.96500 (LT6555CGN#PBF),16mm² (24-Lead QFN (4mm x 4mm x 0.75mm w/ EP)) (LT6555IUF#TRPBF),"24-Lead SSOP (Narrow 0.15 Inch),24-Lead QFN (4mm x 4mm x 0.75mm w/ EP)"
AD8000,26p,7171,1,,1.58G,4.1k,10m,1.6n,45µ,,13.5m,4.5,12,$3.00000 (AD8000YCPZ-REEL7),9mm² (8-Lead LFCSP (3mm x 3mm w/ EP)) (AD8000YCPZ-REEL),"8-Lead LFCSP (3mm x 3mm w/ EP),8-Lead SOIC w/ EP"
AD8397,1.5p,19523,2,35M,69M,53,3m,4.5n,900n,Output,9m,3,25.2,$4.30500 (AD8397ARZ-REEL7),31mm² (8-Lead SOIC) (AD8397ARZ),"8-Lead SOIC,8-Lead SOIC w/ EP"
AD8615,50f,1208,1,24M,,12,100µ,7n,1p,Both,1.7m,2.7,5.5,$1.50626 (AD8615AUJZ-REEL7),8.12mm² (5-Lead TSOT) (AD8615AUJZ-R2),5-Lead TSOT
