Part Number,Current Noise Density (typ),GBP (typ) Hz,BW -3 dB (typ) Hz,Slew Rate (typ) V/us,Vos (max) V,VNoise Density (typ) V/rtHz,Ibias (max) A,Rail to Rail,Iq/Amp (typ) A,Vs span (min) V,Vs span (max) V
ADA4084-1,0.00000000000055,15900000,13900000,4.6,0.0001,0.0000000039,0.00000025,Both,0.000565,3,30
ADA4610-4,0.000000000000001,16300000,9500000,25,0.0004,0.0000000073,0.000000000025,Output,0.0016,10,36
ADA4805-1,0.0000000000007,30000000,105000000,190,0.000125,0.0000000052,0.0000008,In to V- Output,0.00057,2.7,10
ADA4870,0.0000000000042,,52000000,2500,0.01,0.0000000021,0.000023,,0.0325,10,40
LTC6091,0.000000000000001,12000000,,21,0.001,0.000000014,0.000000000003,Output,0.0028,9.5,140
LT6020,0.000000000000037,400000,,5,0.00003,0.00000005,0.000000003,Output,0.00009,3,30
LT6020-1,0.000000000000037,400000,,5,0.00003,0.00000005,0.000000003,Output,0.00009,3,30
ADA4077-1,0.0000000000002,3900000,,1,0.000025,0.000000007,0.000000001,,0.0004,5,30
ADA4084-4,0.00000000000055,15900000,13900000,4.6,0.0001,0.0000000039,0.00000025,Both,0.000565,3,30
MAX44241,,,5000000,3.8,0.000005,0.000000009,0.0000000006,Output Only,0.00042,2.7,36
MAX44242,0.0000000000003,,10000000,8,0.0006,0.000000005,0.0000000000005,Output Only,0.0012,2.7,20
MAX44243,,,5000000,3.8,0.000005,0.000000009,0.0000000006,Output Only,0.00042,2.7,36
MAX44244,0.0000000000001,,1000000,0.7,0.0000075,0.00000005,0.0000000003,Output Only,0.0001,2.7,36
AD8244,0.0000000000000008,,3000000,0.8,0.00035,0.000000013,0.000000000002,In to V- Output,0.00018,3,36
ADA4077-4,0.0000000000002,3900000,,1,0.00005,0.000000007,0.000000001,,0.0004,5,30
ADA4610-2S,,,,,0.0004,,0.000000000025,Output,,10,36
ADA4700-1,0.0000000000004,3500000,4800000,20,0.002,0.0000000147,0.00000003,,0.0017,9,110
LT6238,0.000000000001,215000000,,60,0.00035,0.0000000011,0.00001,Output,0.00315,3,12.6
AD8634,0.0000000000006,9700000,11000000,5,0.00025,0.0000000042,0.0000002,Output,0.0011,3,30
ADA4661-2,0.00000000000036,4000000,2100000,2.2,0.00015,0.000000018,0.000000000015,Both,0.00063,3,18
ADA4666-2,0.00000000000036,4000000,2100000,2,0.0022,0.000000018,0.000000000015,Both,0.00063,3,18
LT6015,0.0000000000001,3200000,,0.75,0.00005,0.000000018,0.000000005,Both,0.000315,3,50
LTC2057,0.00000000000017,1500000,,1.2,0.000004,0.000000011,0.0000000002,In to V- Output,0.0008,4.75,36
LTC2057HV,0.00000000000017,1500000,,1.2,0.000004,0.000000011,0.0000000002,In to V- Output,0.0008,4.75,60
MAX44245,0.0000000000001,,1000000,0.7,0.0000075,0.00000005,0.0000000003,Output Only,0.00009,2.7,36
ADA4096-2S,0.0000000000002,783000,,,0.0003,0.000000027,0.000000025,Both,,3,30
LT6016,0.0000000000001,3200000,,0.75,0.00005,0.000000018,0.000000005,Both,0.000315,3,50
LT6017,0.0000000000001,3200000,,0.75,0.00005,0.000000018,0.000000005,Both,0.000315,3,50
LT6236,0.000000000001,215000000,,60,0.0005,0.0000000011,0.00001,Output,0.00315,3,12.6
LT6237,0.000000000001,215000000,,60,0.00035,0.0000000011,0.00001,Output,0.00315,3,12.6
LTC6090,0.000000000000001,12000000,,24,0.001,0.000000014,0.000000000003,Output,0.0027,9.5,140
LTC6090-5,0.000000000000001,24000000,,37,0.001,0.000000014,0.000000000003,Output,0.0027,9.5,140
ADA4895-1,0.0000000000016,1500000000,236000000,943,0.00035,0.000000001,0.000016,Output,0.003,3,10
MAX44281,0.0000000000000012,,15000000,8,0.0001,0.000000019,0.000000002,Output Only,0.0007,1.7,5.5
ADA4077-2,0.0000000000002,3900000,,1,0.000025,0.000000007,0.000000001,,0.0004,5,30
ADA4312-1,,,195000000,2100,0.0012,0.000000057,0.000175,,0.046,12,12
ADA4500-2,0.0000000000000005,10000000,19200000,5.5,0.00012,0.0000000145,0.000000000001,Both,0.00155,2.7,5.5
ADA4895-2,0.0000000000016,1500000000,236000000,943,0.00035,0.000000001,0.000016,Output,0.003,3,10
MAX44246,,,5000000,3.8,0.000005,0.000000009,0.0000000006,Output Only,0.00042,2.7,36
MAX44248,0.0000000000001,,1000000,0.7,0.0000075,0.00000005,0.0000000003,Output Only,0.00009,2.7,36
MAX44250,0.0000000000006,,10000000,8,0.000009,0.0000000059,0.0000000014,Output Only,0.00122,2.7,20
MAX44263,0.0000000000000012,,15000000,7,0.00005,0.0000000127,0.0000000000005,Both,0.00065,1.7,5.5
AD8659,0.0000000000001,230000,305000,0.08,0.00035,0.000000045,0.00000000002,Both,0.000022,2.7,18
ADA4096-4,0.0000000000002,786000,1520000,0.4,0.0003,0.000000027,0.000000025,Both,0.00006,3,30
ADA4528-2,0.0000000000005,3400000,6500000,0.5,0.0000025,0.0000000059,0.00000000025,Both,0.0014,2.2,5.5
ADA4001-2,0.000000000000003,16700000,10300000,25,0.0015,0.0000000077,0.00000000003,Output,0.002,9,36
ADA4610-2,0.000000000000001,16300000,9500000,25,0.0004,0.0000000073,0.000000000025,Output,0.0016,10,36
MAX44252,0.0000000000006,,10000000,8,0.000006,0.0000000059,0.0000000013,Output Only,0.00115,2.7,20
MAX44280,0.0000000000012,50000000,50000000,30,0.00005,0.0000000127,0.0000000000005,Both,0.00075,1.7,5.5
ADA4084-2,0.00000000000055,15900000,13900000,4.6,0.0001,0.0000000039,0.00000025,Both,0.000565,3,30
ADA4638-1,0.0000000000001,1500000,2500000,1.5,0.0000045,0.000000066,0.00000000009,In to V- Output,0.00085,4.5,30
ADA4897-2,0.0000000000028,90000000,230000000,120,0.0005,0.000000001,0.000017,Output,0.003,3,10
LTC6360,0.000000000003,1000000000,250000000,135,0.00025,0.0000000023,0.00003,In to V- Output,0.0136,4.75,5.25
MAX44251,0.0000000000006,,10000000,8,0.000006,0.0000000059,0.0000000013,Output Only,0.00115,2.7,20
AD823A,0.000000000000001,10000000,19000000,35,0.0035,0.000000013,0.000000000025,In to V- Output,0.0051,3,36
ADA4096-2,0.0000000000002,786000,1520000,0.4,0.0003,0.000000027,0.000000025,Both,0.00006,3,30
ADA4896-2,0.0000000000028,90000000,230000000,120,0.0005,0.000000001,0.000017,Output,0.003,3,10
ADA4897-1,0.0000000000028,90000000,230000000,120,0.0005,0.000000001,0.000017,Output,0.003,3,10
MAX44260,0.0000000000000012,,15000000,7,0.00005,0.0000000127,0.0000000000005,Both,0.00075,1.7,5.5
MAX44261,0.0000000000000012,,15000000,7,0.00005,0.0000000127,0.0000000000005,Both,0.00075,1.7,5.5
RH6200M,0.0000000000022,165000000,,44,0.002,0.0000000011,0.000018,Both,0.0165,4.5,12.6
MAX44265,0.000000000000001,,200000,0.1,0.001,0.0000004,0.00000000001,Both,0.000004,1.8,5.5
AD8657,0.0000000000001,230000,305000,0.08,0.00035,0.000000045,0.00000000002,Both,0.000022,2.7,18
ADA4528-1,0.0000000000005,3400000,6500000,0.5,0.0000025,0.0000000059,0.0000000002,Both,0.0014,2.2,5.5
LT1970A,0.000000000003,3600000,,1.6,0.0006,0.000000015,,,0.007,5,36
MAX44264,,,9000,0.002,0.007,0.00000012,0.0000000015,Output Only,0.00000075,1.8,5.5
AD8671S,,10000000,,4,0.000075,,0.000000012,,,8,36
MAX9615,0.0000000000000001,,2800000,1.3,0.0001,0.000000028,0.00000000000155,Both,0.00022,1.7,5.5
MAX9616,0.0000000000000001,,2800000,1.3,0.0001,0.000000028,0.00000000000155,Output Only,0.00012,2.7,5.5
MAX9637,0.00000000000005,,1500000,0.9,0.0022,0.000000038,0.0000000000008,Both,0.000036,2.1,5.5
MAX9638,0.00000000000005,,1500000,0.9,0.0022,0.000000038,0.0000000000008,Both,0.000036,2.1,5.5
ADA4637-1,0.0000000000000016,79900000,,170,0.0002,0.0000000048,0.000000000005,,0.007,9,30
ADA4800,,,400000000,415,0.041,0.0000000015,,In to V+,0.0014,4,17
ADA4891-3,,105000000,220000000,170,0.01,0.000000009,0.00000000005,In to V- Output,0.0044,2.7,5.5
ADA4891-4,,105000000,220000000,170,0.01,0.000000009,0.00000000005,In to V- Output,0.0044,2.7,5.5
MAX9613,0.0000000000000001,,2800000,1.3,0.0001,0.000000028,0.00000000000155,Both,0.00022,1.7,5.5
MAX9614,0.0000000000000001,,2800000,1.3,0.0001,0.000000028,0.00000000000155,Output Only,0.00012,2.7,5.5
AD8629S,0.000000000000005,2500000,,1,0.00001,0.000000022,0.0000000005,Both,,2.7,5.5
ADA4092-4,,1400000,,0.4,0.0015,0.000000024,0.00000008,Both,0.000165,2.7,36
ADA4891-1,,105000000,240000000,170,0.01,0.000000009,0.00000000005,In to V- Output,0.0044,2.7,5.5
ADA4891-2,,105000000,240000000,170,0.01,0.000000009,0.00000000005,In to V- Output,0.0044,2.7,5.5
LTC6252,0.000000000004,720000000,,280,0.00035,0.00000000275,0.00000057,Both,0.0033,2.5,5.25
LTC6253,0.000000000004,720000000,,280,0.00035,0.00000000275,0.00000075,Both,0.0033,2.5,5.25
LTC6254,0.000000000004,720000000,,280,0.00035,0.00000000275,0.000003,Both,0.0033,2.5,5.25
LTC6255,0.00000000000058,6500000,,1.8,0.00035,0.000000021,0.00000005,Both,0.00006,1.8,5.25
LTC6256,0.00000000000058,6500000,,1.8,0.00035,0.000000021,0.00000005,Both,0.000065,1.8,5.25
LTC6257,0.00000000000058,6500000,,1.8,0.00035,0.000000021,0.00000005,Both,0.000065,1.8,5.25
MAX9636,0.0000000000000009,,1500000,0.9,0.0022,0.000000038,0.0000000000008,Both,0.000036,2.1,5.5
AD8624,0.00000000000015,560000,,0.48,0.000125,0.000000011,0.0000000002,Output,0.000215,5,36
ADA4691-4,,3600000,,1.3,0.0025,0.000000016,0.000000000005,In to V- Output,0.000165,2.7,5.5
ADA4898-2,0.0000000000024,50000000,65000000,55,0.000125,0.0000000009,0.0000004,,0.0079,9,36
MAX9618,0.0000000000001,,1500000,0.7,0.00001,0.000000042,0.00000000008,Both,0.000059,1.8,5.5
MAX9619,0.0000000000001,,1500000,0.7,0.00001,0.000000042,0.00000000008,Both,0.000059,1.8,5.5
MAX9620,0.0000000000001,,1500000,0.7,0.00001,0.000000042,0.00000000008,Both,0.000059,1.8,5.5
AD8505,0.000000000000015,95000,,0.013,0.0025,0.000000045,0.00000000001,Both,0.0000165,1.8,5
ADA4051-1,0.0000000000001,125000,,0.06,0.000017,0.000000095,0.00000000007,Both,0.000015,1.8,5.5
ADA4692-4,,3600000,,1.3,0.0025,0.000000016,0.000000000005,In to V- Output,0.000225,2.7,5.5
LTC6246,0.000000000002,180000000,,90,0.0005,0.0000000042,0.00000035,Both,0.00095,2.5,5.25
LTC6247,0.000000000002,180000000,,90,0.0005,0.0000000042,0.00000035,Both,0.00095,2.5,5.25
LTC6248,0.000000000002,180000000,,90,0.0005,0.0000000042,0.00000035,Both,0.00095,2.5,5.25
AD8622,0.00000000000015,560000,,0.48,0.000125,0.000000011,0.0000000002,Output,0.000215,5,36
ADA4051-2,0.0000000000001,125000,,0.06,0.000015,0.000000095,0.00000000007,Both,0.000013,1.8,5.5
ADA4062-4,0.000000000000005,1400000,,3.3,0.0015,0.000000036,0.00000000005,In to V+,0.000165,8,36
ADA4091-4,,1270000,,0.46,0.00025,0.000000024,0.00000008,Both,0.000165,2.7,36
ADA4627-1,0.0000000000000016,19000000,,56,0.0002,0.0000000048,0.000000000005,,0.007,9,36
ADA4691-2,,3600000,,1.3,0.0025,0.000000016,0.000000000005,In to V- Output,0.000165,2.7,5.5
MAX9617,0.0000000000001,,1500000,0.7,0.00001,0.000000042,0.00000000008,Both,0.000059,1.8,5.5
ADA4692-2,,3600000,,1.3,0.0025,0.000000016,0.000000000005,In to V- Output,0.00018,2.7,5.5
MAX9944,0.00000000000018,,2400000,0.35,0.0001,0.0000000176,0.00000009,Output Only,0.00055,6,38
ADA4665-2,0.00000000000005,1200000,,1,0.004,0.000000027,0.000000000001,Both,0.0004,5,16
MAX9943,0.00000000000018,,2400000,0.35,0.0001,0.0000000176,0.00000009,Output Only,0.00055,6,38
MAX9945,0.000000000000001,,3000000,2.2,0.005,0.000000015,0.00000000000015,Output Only,0.0004,4.75,38
AD8597,0.000000000002,10000000,,16,0.00012,0.00000000107,0.0000002,,0.0057,9,30
ADA4004-1,0.0000000000012,12000000,,2.7,0.000125,0.0000000018,0.00000009,,0.0022,10,30
ADA4004-2,0.0000000000012,12000000,,2.7,0.000125,0.0000000018,0.00000009,,0.0022,10,30
ADA4062-2,0.000000000000005,1400000,,3.3,0.0015,0.000000036,0.00000000005,In to V+,0.000165,8,36
ADA4075-2,0.0000000000012,6500000,,12,0.001,0.0000000028,0.0000001,,0.00225,9,36
ADA4091-2,,1270000,,0.46,0.00025,0.000000024,0.00000008,Both,0.000165,2.7,36
ADA4505-4,0.00000000000002,50000,,0.006,0.003,0.000000065,0.000000000002,Both,0.000009,1.8,5
ADA4817-1,0.0000000000000025,410000000,1050000000,870,0.002,0.000000004,0.00000000002,In to V-,0.019,5,10
ADA4817-2,0.0000000000000025,410000000,1050000000,870,0.002,0.000000004,0.00000000002,In to V-,0.019,5,10
ADA4855-3,0.000000000002,200000000,410000000,870,0.003,0.0000000068,0.0000038,In to V- Output,0.0078,3,5.5
ADA4856-3,0.000000000002,,370000000,800,0.0034,0.000000014,,In to V- Output,0.0078,3,5.5
ADA4858-3,0.000000000009,,600000000,600,0.014,0.000000004,0.000013,,0.019,3,5.5
ADA4859-3,0.000000000002,,265000000,740,0.025,0.000000017,0.000002,,0.0057,3,5.5
AD8508,0.000000000000015,95000,,0.013,0.0025,0.000000045,0.00000000001,Both,0.0005,1.8,5
ADA4505-2,0.00000000000002,50000,,0.006,0.003,0.000000065,0.000000000002,Both,0.000009,1.8,5
LT1468-2,0.0000000000006,200000000,,30,0.000075,0.000000005,0.00000001,,0.0039,10,36
AD8639,0.0000000000000005,1500000,,2,0.000009,0.00000006,0.000000000075,In to V- Output,0.0015,4.5,16
ADA4857-1,0.0000000000015,410000000,850000000,2800,0.0045,0.0000000044,0.0000033,,0.005,4.5,10.5
ADA4857-2,0.0000000000015,410000000,850000000,2800,0.0045,0.0000000044,0.0000033,,0.005,4.5,10.5
ADA4898-1,0.0000000000024,50000000,65000000,55,0.000125,0.0000000009,0.0000004,,0.0081,9,36
ICL7612,0.00000000000001,,44000,0.016,0.002,0.0000001,0.00000000005,Output Only,0.000006,2,16
LT1469-2,0.0000000000006,200000000,,30,0.000125,0.000000005,0.00000001,,0.0041,10,36
LTC6084,0.00000000000000056,1500000,,0.5,0.00075,0.000000031,0.00000000004,Both,0.00011,2.5,5.5
