Part Number,Current Noise Density (typ),GBP (typ) Hz,BW -3 dB (typ) Hz,Slew Rate (typ) V/us,Vos (max) V,VNoise Density (typ) V/rtHz,Ibias (max) A,Rail to Rail,Iq/Amp (typ) A,Vs span (min) V,Vs span (max) V
AD8677,0.000000000000074,600000,,0.2,0.00013,0.00000001,0.000000001,,0.0013,8,36
ADA4004-4,0.0000000000012,12000000,,2.7,0.000125,0.0000000018,0.00000009,,0.0022,10,30
ADA4853-1,0.0000000000022,55000000,100000000,120,0.0041,0.000000022,0.0000017,In to V- Output,0.0014,2.65,5
LTC6081,0.0000000000000005,3600000,,1,0.00007,0.000000013,0.000000000001,Both,0.00033,2.7,5.5
OP07D,0.000000000000074,600000,,0.2,0.00015,0.00000001,0.000000001,,0.0011,8,36
AD8003,0.000000000036,,1650000000,3800,0.0093,0.0000000018,0.00005,,0.0095,4.5,10
AD8617,0.00000000000005,400000,,0.1,0.0022,0.000000022,0.000000000001,Both,0.000038,1.8,5
AD8619,0.00000000000005,400000,,0.1,0.0022,0.000000022,0.000000000001,Both,0.000038,1.8,5
AD8661,0.0000000000001,4000000,,3.5,0.00016,0.00000001,0.000000000001,In to V- Output,0.0014,5,16
AD8675,0.0000000000003,10000000,,2.5,0.000075,0.0000000028,0.000000002,Output,0.0029,10,30
ADA4841-2,0.0000000000014,35000000,80000000,13,0.0003,0.0000000021,0.0000053,In to V- Output,0.0012,2.7,12
ADA4861-3,0.0000000000055,,730000000,680,0.013,0.0000000032,0.000013,,0.0161,5,12
ADA4899-1,0.0000000000052,280000000,600000000,310,0.00023,0.000000001,0.000001,,0.0147,4.5,12
LT6001,0.000000000000025,50000,,0.015,0.0006,0.000000075,0.000000005,Both,0.000013,1.8,18
LT6002,0.000000000000025,50000,,0.015,0.00075,0.000000075,0.000000005,Both,0.000013,1.8,18
MAX9912,0.000000000000001,,200000,0.1,0.001,0.0000004,0.00000000001,Both,0.000004,1.8,5.5
MAX9916,0.000000000000001,,1000000,0.5,0.001,0.00000016,0.00000000001,Both,0.00002,1.8,5.5
RH1814M,0.000000000001,100000000,,750,0.0015,0.000000008,,,0.0036,2.5,12.6
AD8656,0.000000000000001,28000000,,11,0.00025,0.0000000027,0.00000000001,Both,0.0045,2.7,5.5
ADA4841-1,0.0000000000014,35000000,80000000,13,0.0003,0.0000000021,0.0000053,In to V- Output,0.0012,2.7,12
ADA4862-3,0.0000000000014,,720000000,830,0.025,0.0000000106,0.000001,,0.016,5,12
LT6556,0.0000000000035,750000000,,2100,0.067,0.000000011,,,0.0095,4.5,12.6
LTC6078,0.00000000000000056,750000,,0.05,0.000025,0.000000018,0.000000000001,Both,0.000054,2.7,5.5
LTC6079,0.00000000000000056,750000,,0.05,0.000025,0.000000018,0.000000000001,Both,0.000054,2.7,5.5
LTC6241,0.00000000000000056,18000000,,10,0.000125,0.000000007,0.000000000075,In to V- Output,0.0018,2.8,6
LTC6241HV,0.00000000000000056,18000000,,10,0.000125,0.000000007,0.000000000075,In to V- Output,0.0018,2.8,12
LTC6242,0.00000000000000056,18000000,,10,0.000125,0.000000007,0.000000000075,In to V- Output,0.0018,2.8,6
LTC6242HV,0.00000000000000056,18000000,,10,0.000125,0.000000007,0.000000000075,In to V- Output,0.0018,2.8,12
MAX9910,0.000000000000001,,200000,0.1,0.001,0.0000004,0.00000000001,Both,0.000004,1.8,5.5
MAX9911,0.000000000000001,,200000,0.1,0.001,0.0000004,0.00000000001,Both,0.000004,1.8,5.5
MAX9914,0.000000000000001,,1000000,0.5,0.001,0.00000016,0.00000000001,Both,0.00002,1.8,5.5
MAX9915,0.000000000000001,,1000000,0.5,0.001,0.00000016,0.00000000001,Both,0.00002,1.8,5.5
AD8642,0.0000000000000005,3500000,,3,0.00075,0.0000000275,0.000000000001,In to V- Output,0.00029,5,26
AD8643,0.0000000000000005,3500000,,3,0.00075,0.0000000275,0.000000000001,In to V- Output,0.00029,5,26
AD8655,0.000000000000001,28000000,,11,0.00025,0.0000000027,0.00000000001,Both,0.0045,2.7,5.5
AD8694,0.00000000000005,10000000,,5,0.002,0.0000000065,0.000000000001,In to V- Output,0.00105,2.7,5.5
ADA4850-1,0.0000000000025,70000000,175000000,160,0.0042,0.00000001,0.0000042,In to V- Output,0.0025,2.7,6
ADA4850-2,0.0000000000025,70000000,175000000,160,0.0042,0.00000001,0.0000042,In to V- Output,0.0025,2.7,6
ADA4851-2,0.0000000000025,70000000,105000000,190,0.0035,0.00000001,0.000004,In to V- Output,0.0029,2.7,12
LT6555,0.0000000000035,650000000,,2200,0.016,0.000000009,,,0.009,4.5,12.6
AD8000,0.000000000026,,1580000000,4100,0.01,0.0000000016,0.000045,,0.0135,4.5,12
AD8397,0.0000000000015,35000000,69000000,53,0.003,0.0000000045,0.0000009,Output,0.009,3,25.2
AD8615,0.00000000000005,24000000,,12,0.0001,0.000000007,0.000000000001,Both,0.0017,2.7,5.5
AD8630,0.000000000000005,2500000,,1,0.000005,0.000000022,0.0000000003,Both,0.00085,2.7,5.5
AD8691,0.00000000000005,10000000,,5,0.002,0.0000000065,0.000000000001,In to V- Output,0.00105,2.7,5.5
ADA4851-4,0.0000000000025,70000000,105000000,190,0.0035,0.00000001,0.000004,In to V- Output,0.0029,2.7,12
LT6557,0.00000000002,500000000,,2200,0.04,0.000000012,,,0.0225,3,7.5
MAX4030E,,,144000000,115,0.026,,0.000001,In to V- Output,0.012,4.5,5
MAX4031E,,,144000000,115,0.026,,0.000001,In to V- Output,0.012,4.5,5
AD8629,0.000000000000005,2500000,,1,0.000005,0.000000022,0.0000000001,Both,0.00085,2.7,5.5
AD8641,0.0000000000000005,3500000,,3,0.00075,0.0000000275,0.000000000001,In to V- Output,0.00029,5,26
AD8652,0.000000000000004,50000000,50000000,41,0.0003,0.0000000045,0.00000000001,Both,0.009,2.7,5.5
AD8692,0.00000000000005,10000000,,5,0.002,0.0000000065,0.000000000001,In to V- Output,0.00105,2.7,5.5
ADA4851-1,0.0000000000025,70000000,105000000,190,0.0035,0.00000001,0.000004,In to V- Output,0.0029,2.7,12
MAX9913,0.000000000000001,,200000,0.1,0.001,0.0000004,0.00000000001,Both,0.000004,1.8,5.5
MAX9917,0.000000000000001,,1000000,0.5,0.001,0.00000016,0.00000000001,Both,0.00002,1.8,5.5
AD8045,0.000000000003,400000000,1000000000,1350,0.001,0.000000003,0.0000063,,0.016,3.3,12
MAX4036,,,4000,0.0004,0.002,0.0000005,0.00000000001,Output Only,0.0000008,1.4,3.6
AD8618,0.00000000000005,24000000,,12,0.00006,0.000000007,0.000000000001,Both,0.002,2.7,5.5
LT6013,0.00000000000015,1600000,,0.2,0.000035,0.0000000095,0.00000000025,Output,0.000145,2.7,40
LT6554,0.0000000000035,650000000,,2500,0.035,0.00000002,0.00005,,0.008,4,13.2
LTC2055,,500000,,0.5,0.000003,0.000000085,0.00000000015,In to V- Output,0.00013,2.7,6
LTC2055HV,,500000,,0.5,0.000003,0.000000085,0.00000000015,In to V- Output,0.00015,2.7,11
AD8616,0.00000000000005,24000000,,12,0.00006,0.000000007,0.000000000001,Both,0.0017,2.7,5.5
AD8672,0.0000000000003,10000000,,4,0.000075,0.0000000028,0.000000012,,0.003,8,36
AD8674,0.0000000000003,10000000,,4,0.000075,0.0000000028,0.000000012,,0.003,8,36
LT6014,0.00000000000015,1600000,,0.2,0.00006,0.0000000095,0.0000000004,Output,0.000145,2.7,40
MAX4037,,,4000,0.0004,0.002,0.0000005,0.00000000001,Output Only,0.0000019,1.4,3.6
MAX4038,,,4000,0.0004,0.002,0.0000005,0.00000000001,Output Only,0.0000008,1.4,3.6
MAX4039,,,4000,0.0004,0.002,0.0000005,0.00000000001,Output Only,0.0000014,1.4,3.6
AD8040,0.0000000000011,45000000,125000000,62,0.005,0.0000000165,0.0000028,Both,0.0014,2.7,12
AD8099,0.0000000000026,3800000000,510000000,470,0.0005,0.00000000095,0.000013,,0.015,5,12
AD8513,0.00000000000001,8000000,,20,0.0004,0.0000000076,0.00000000008,,0.0025,9,30
AD8607,0.00000000000005,316000,,0.1,0.0003,0.000000022,0.000000000001,Both,0.00005,1.8,5
AD8609,0.00000000000005,316000,,0.1,0.0003,0.000000022,0.000000000001,Both,0.00004,1.8,5
AD8625,0.0000000000000004,5000000,,5,0.00075,0.000000016,0.000000000001,In to V- Output,0.00085,5,26
AD8626,0.0000000000000004,5000000,,5,0.00075,0.000000016,0.000000000001,In to V- Output,0.00085,5,26
AD8651,0.000000000000004,50000000,50000000,41,0.00035,0.0000000045,0.00000000001,Both,0.009,2.7,5.5
LT6010,0.0000000000001,330000,,0.09,0.000035,0.000000014,0.00000000011,Output,0.000135,2.7,40
LT6205,0.000000000004,100000000,,600,0.0045,0.000000009,0.00003,In to V- Output,0.004,3,12.6
LT6207,0.000000000004,100000000,,600,0.0045,0.000000009,0.00003,In to V- Output,0.004,3,12.6
LT6230,0.000000000001,215000000,,70,0.0005,0.0000000011,0.00001,Output,0.0033,3,12.6
LT6230-10,0.000000000001,1450000000,,250,0.0005,0.0000000011,0.00001,Output,0.0033,3,12.6
LT6231,0.000000000001,215000000,,70,0.00035,0.0000000011,0.00001,Output,0.0033,3,12.6
LT6232,0.000000000001,215000000,,70,0.00035,0.0000000011,0.00001,Output,0.0033,3,12.6
LT6233,0.00000000000043,60000000,,15,0.0005,0.0000000019,0.000003,Output,0.00115,3,12.6
LT6233-10,0.00000000000043,375000000,,80,0.0005,0.0000000019,0.000003,Output,0.00115,3,12.6
LT6234,0.00000000000043,60000000,,17,0.00035,0.0000000019,0.000003,Output,0.00115,3,12.6
LT6235,0.00000000000043,60000000,,17,0.00035,0.0000000019,0.000003,Output,0.00115,3,12.6
LT6553,0.000000000004,650000000,,2500,0.01,0.000000009,0.00005,,0.008,4,13.2
AD8028,0.0000000000016,190000000,190000000,100,0.0009,0.0000000043,0.000011,Both,0.0065,2.7,12
AD8029,0.0000000000011,45000000,125000000,63,0.005,0.0000000165,0.0000028,Both,0.0014,2.7,12
AD8030,0.0000000000011,45000000,125000000,63,0.005,0.0000000165,0.0000028,Both,0.0014,2.7,12
AD8603,0.00000000000005,316000,,0.1,0.0003,0.000000022,0.000000000001,Both,0.00005,1.8,5
AD8671,0.0000000000003,10000000,,4,0.000075,0.0000000028,0.000000012,,0.003,8,36
LT1803,0.0000000000025,83000000,,100,0.002,0.000000021,0.00000075,Both,0.0027,2.3,12.6
LT6012,0.0000000000001,330000,,0.09,0.00006,0.000000014,0.0000000003,Output,0.000135,2.4,40
LT6210,0.0000000000045,,200000000,700,0.006,0.0000000065,,Output,0.0058,3,13.2
LT6220,0.0000000000008,60000000,,20,0.00035,0.00000001,0.00000015,Both,0.0009,2.2,12.6
LT6221,0.0000000000008,60000000,,20,0.00035,0.00000001,0.00000015,Both,0.0009,2.2,12.6
LT6222,0.0000000000008,60000000,,20,0.00035,0.00000001,0.00000015,Both,0.0009,2.2,12.6
LT6552,0.0000000000007,75000000,,600,0.02,0.000000055,0.00005,Output,0.0125,3,12.6
LT1804,0.0000000000025,83000000,,100,0.002,0.000000021,0.00000075,Both,0.0027,2.3,12.6
LT1805,0.0000000000025,85000000,,100,0.002,0.000000021,0.00000075,Both,0.0027,2.3,12.6
LT6011,0.0000000000001,330000,,0.09,0.00006,0.000000014,0.0000000003,Output,0.000135,2.4,40
LT6206,0.000000000004,100000000,,600,0.0045,0.000000009,0.00003,In to V- Output,0.004,3,12.6
AD8027,0.0000000000016,190000000,190000000,100,0.0009,0.0000000043,0.000011,Both,0.0065,2.7,12
AD8627,0.0000000000000004,5000000,,5,0.00075,0.000000016,0.000000000001,In to V- Output,0.00085,5,26
LT1678,0.0000000000003,20000000,,6,0.0001,0.0000000039,0.00000002,Both,0.002,3,36
LT1679,0.0000000000003,20000000,,6,0.0001,0.0000000039,0.00000002,Both,0.002,3,36
LT6211,0.0000000000045,,200000000,700,0.006,0.0000000065,,Output,0.0058,3,13.2
LTC2054,,500000,,0.5,0.000003,0.000000085,0.00000000015,In to V- Output,0.00014,2.7,6
LTC2054HV,,500000,,0.5,0.000003,0.000000085,0.00000000015,In to V- Output,0.000175,2.7,11
AD8067,0.0000000000000006,200000000,54000000,640,0.001,0.0000000066,0.000000000005,In to V- Output,0.007,5,24
AD8608,0.00000000000001,10000000,,5,0.000075,0.0000000065,0.000000000001,Both,0.0012,2.7,5
LT1218,0.00000000000009,300000,,0.1,0.00009,0.000000033,0.00000007,Both,0.00037,2,36
LT1219,0.00000000000009,150000,,0.05,0.00009,0.000000033,0.00000007,Both,0.00037,2,36
LT1818,0.0000000000012,400000000,,2500,0.0015,0.000000006,0.000008,,0.009,3.5,12.6
AD8008,0.0000000000225,,500000000,1000,0.004,0.0000000027,0.000008,,0.009,5,12
AD8033,0.0000000000000007,45000000,80000000,80,0.002,0.000000011,0.000000000011,In to V- Output,0.0033,5,24
AD8066,0.0000000000000006,145000000,120000000,180,0.0015,0.000000007,0.000000000006,In to V- Output,0.0074,5,24
AD8510,0.00000000000001,8000000,,20,0.0004,0.0000000076,0.00000000008,,0.0025,9,30
AD8515,0.00000000000005,5000000,,2.7,0.006,0.00000002,0.00000000003,Both,0.0005,1.8,5
AD8605,0.00000000000001,10000000,,5,0.000065,0.0000000065,0.000000000001,Both,0.0012,2.7,5
LT1819,0.0000000000012,400000000,,2500,0.0015,0.000000006,0.000008,,0.009,3.5,12.6
LT6200,0.0000000000022,165000000,,44,0.004,0.00000000095,0.00004,Both,0.02,2.5,12.6
LT6200-10,0.0000000000022,1450000000,,340,0.004,0.00000000095,0.00004,Both,0.02,2.5,12.6
LT6200-5,0.0000000000022,750000000,,210,0.004,0.00000000095,0.00004,Both,0.02,2.5,12.6
LT6202,0.00000000000075,100000000,,25,0.0005,0.0000000019,0.000007,Both,0.0028,2.5,12.6
LT6203,0.00000000000075,100000000,,25,0.0005,0.0000000019,0.000007,Both,0.0028,2.5,12.6
LT6204,0.00000000000075,100000000,,25,0.0005,0.0000000019,0.000007,Both,0.0028,2.5,12.6
LT6550,0.000000000008,110000000,,340,0.035,0.000000012,0.000065,In to V- Output,0.0095,3,12.6
LT6551,0.000000000008,110000000,,340,0.035,0.000000012,0.000065,In to V- Output,0.0095,3,12.6
AD8007,0.0000000000225,,500000000,1000,0.004,0.0000000027,0.000006,,0.009,5,12
AD8034,0.0000000000000007,45000000,80000000,80,0.002,0.000000011,0.000000000011,In to V- Output,0.0033,5,24
AD8038,0.0000000000006,100000000,350000000,425,0.003,0.000000008,0.00000075,,0.001,3,12
AD8065,0.0000000000000006,145000000,145000000,180,0.0015,0.000000007,0.000000000006,In to V- Output,0.0074,5,24
AD8091,0.0000000000006,50000000,110000000,170,0.011,0.000000016,0.0000026,In to V- Output,0.0055,3,12
AD8092,0.0000000000009,50000000,110000000,170,0.011,0.000000016,0.0000026,In to V- Output,0.0048,3,12
AD8606,0.00000000000001,10000000,,5,0.000065,0.0000000065,0.000000000001,Both,0.0012,2.7,5
AD8620,0.000000000000005,25000000,,60,0.00015,0.000000006,0.00000000001,,0.0035,10,26
AD8628,0.000000000000005,2500000,,1,0.000005,0.000000022,0.0000000001,Both,0.00085,2.7,5.5
LT1722,0.0000000000012,200000000,,70,0.0004,0.0000000038,0.0000003,,0.0037,4.6,12.6
LT1723,0.0000000000012,200000000,,70,0.0004,0.0000000038,0.0000003,,0.0037,4.6,12.6
LT1724,0.0000000000012,200000000,,70,0.0004,0.0000000038,0.0000003,,0.0037,4.6,12.6
LT1801,0.000000000001,80000000,,25,0.00035,0.0000000085,0.00000025,Both,0.0016,2.3,12.6
LT1802,0.000000000001,80000000,,25,0.00035,0.0000000085,0.00000025,Both,0.0016,2.3,12.6
LT1970,0.000000000003,3600000,,1.6,0.0006,0.000000015,,,0.007,5,36
MAX4238,0.000000000000001,,1000000,,0.000002,0.000000025,0.00000000001,Output Only,0.0006,2.7,5.5
MAX4239,0.000000000000001,,6500000,,0.000002,0.000000025,0.00000000001,Output Only,0.0006,2.7,5.5
MAX4385E,0.000000000002,,230000000,450,0.028,0.0000000115,0.00002,Output,0.0055,4.5,5.5
MAX4386E,0.000000000002,,230000000,450,0.028,0.0000000115,0.00002,Output,0.0055,4.5,5.5
OP4177,0.0000000000002,1300000,,0.7,0.000075,0.0000000079,0.000000002,,0.0005,5,30
AD8039,0.0000000000006,100000000,350000000,425,0.003,0.000000008,0.00000075,,0.001,3,12
AD8512,0.00000000000001,8000000,,20,0.0004,0.0000000076,0.00000000008,,0.0025,9,30
LT6201,0.0000000000022,165000000,,50,0.004,0.00000000095,0.00004,Both,0.02,2.5,12.6
MAX4091,0.0000000000015,,500000,0.2,0.0014,0.000000012,0.00000018,Both,0.000115,2.7,6
MAX4092,0.0000000000015,,500000,0.2,0.0014,0.000000012,0.00000018,Both,0.000115,2.7,6
MAX4094,0.0000000000015,,500000,0.2,0.0014,0.000000012,0.00000018,Both,0.000115,2.7,6
MAX4232,,,10000000,10,0.006,0.000000012,0.00000000005,Both,0.0011,2.7,5.5
MAX4234,,,10000000,10,0.006,0.000000012,0.00000000005,Both,0.0011,2.7,5.5
MAX4289,,,17000,,0.002,,0.000000015,Output Only,0.000009,1,5.5
MAX4389,0.0000000000021,,85000000,500,0.026,0.000000013,0.000015,Output,0.006,4.5,11
MAX4390,0.0000000000021,,85000000,500,0.026,0.000000013,0.000015,Output,0.006,4.5,11
MAX4392,0.0000000000021,,85000000,500,0.026,0.000000013,0.000015,Output,0.006,4.5,11
MAX4393,0.0000000000021,,85000000,500,0.026,0.000000013,0.000015,Output,0.006,4.5,11
MAX4394,0.0000000000021,,85000000,500,0.026,0.000000013,0.000015,Output,0.006,4.5,11
MAX4395,0.0000000000021,,85000000,500,0.026,0.000000013,0.000015,Output,0.006,4.5,11
MAX4396,0.0000000000021,,85000000,500,0.026,0.000000013,0.000015,Output,0.006,4.5,11
AD8565,0.0000000000008,5000000,,6,0.01,0.000000025,0.0000006,Both,0.00085,4,17
AD8566,0.0000000000008,5000000,,6,0.01,0.000000025,0.0000006,Both,0.00085,4,17
AD8610,0.000000000000005,25000000,,60,0.0001,0.000000006,0.00000000001,,0.0035,10,26
LT1739,0.0000000000008,200000000,200000000,600,0.005,0.000000008,0.000004,,0.01,8,27
LT1800,0.000000000001,80000000,,25,0.00035,0.0000000085,0.00000025,Both,0.0016,2.3,12.6
LT1816,0.0000000000013,220000000,350000000,1500,0.0015,0.000000006,0.000008,,0.0065,2.5,12.6
LT1817,0.0000000000013,220000000,350000000,1500,0.0015,0.000000006,0.000008,,0.0065,2.5,12.6
LT6300,0.0000000000008,200000000,200000000,600,0.005,0.000000008,0.000004,,0.01,8,27
MAX4230,,,10000000,10,0.006,0.000000012,0.00000000005,Both,0.0011,2.7,5.5
MAX4231,,,10000000,10,0.006,0.000000012,0.00000000005,Both,0.0011,2.7,5.5
MAX4233,,,10000000,10,0.006,0.000000012,0.00000000005,Both,0.0011,2.7,5.5
MAX4434,0.000000000002,,150000000,133,0.0035,0.0000000022,0.000022,In to V-,0.015,4.5,5.5
MAX4436,0.000000000002,,150000000,133,0.0035,0.0000000022,0.000022,In to V-,0.015,4.5,5.5
MAX4464,,,40000,0.02,0.007,0.00000012,0.0000000015,Output Only,0.00000075,1.8,5.5
MAX4474,,,40000,0.02,0.007,0.00000012,0.0000000015,Output Only,0.00000075,1.8,5.5
MAX4494,0.0000000000002,,5000000,3,0.005,0.000000008,0.000001,Output Only,0.00077,4.5,11
MAX4495,0.0000000000002,,5000000,3,0.005,0.000000008,0.000001,Output Only,0.00077,4.5,11
OP2177,0.0000000000002,1300000,,0.7,0.000075,0.0000000079,0.000000002,,0.0004,5,30
AD8021,0.0000000000021,1000000000,560000000,130,0.001,0.0000000021,0.0000105,,0.0078,4.5,24
MAX4236,,,1700000,0.3,0.00005,0.000000014,0.0000000005,Output Only,0.00035,2.4,5.5
MAX4236A,,,1700000,0.3,0.00002,0.000000014,0.0000000005,Output Only,0.00035,2.4,5.5
MAX4237,,,7500000,1.3,0.00005,0.000000014,0.0000000005,Output Only,0.00035,2.4,5.5
MAX4237A,,,7500000,1.3,0.00002,0.000000014,0.0000000005,Output Only,0.00035,2.4,5.5
MAX4335,0.0000000000006,,5000000,1.8,0.003,0.000000026,0.0000004,Both,0.0013,2.7,5.5
MAX4475,0.0000000000000005,,10000000,3,0.00075,0.0000000045,0.00000000015,Output Only,0.0025,2.7,5.5
MAX4476,0.0000000000000005,,10000000,3,0.00075,0.0000000045,0.00000000015,Output Only,0.0025,2.7,5.5
MAX4478,0.0000000000000005,,10000000,3,0.00075,0.0000000045,0.00000000015,Output Only,0.0025,2.7,5.5
MAX4488,0.0000000000000005,,42000000,10,0.00075,0.0000000045,0.00000000015,Output Only,0.0025,2.7,5.5
MAX4489,0.0000000000000005,,42000000,10,0.00075,0.0000000045,0.00000000015,Output Only,0.0025,2.7,5.5
OP1177,0.0000000000002,1300000,,0.7,0.00006,0.0000000079,0.000000002,,0.0004,5,30
LT1794,0.0000000000008,200000000,200000000,600,0.005,0.000000008,0.000004,,0.01,8,36
LT1814,0.000000000001,100000000,,750,0.0015,0.000000008,0.000004,,0.003,2.5,12.5
LT1815,0.0000000000013,220000000,350000000,1500,0.0015,0.000000006,0.000008,,0.0065,4,12.6
LT1880,0.00000000000007,1100000,,0.55,0.00015,0.000000013,0.0000000009,Output,0.0012,2.4,40
LT1969,0.000000000002,700000000,,200,0.004,0.000000006,0.000004,,0.007,4,13.2
MAX4245,0.0000000000001,,1000000,0.4,0.0015,0.000000052,0.00000005,Both,0.000375,2.5,5.5
MAX4246,0.0000000000001,,1000000,0.4,0.0015,0.000000052,0.00000005,Both,0.000375,2.5,5.5
MAX4247,0.0000000000001,,1000000,0.4,0.0015,0.000000052,0.00000005,Both,0.000375,2.5,5.5
MAX4350,0.0000000000018,,210000000,485,0.026,0.00000001,0.00002,In to V- Output,0.0069,9,11
MAX4351,0.0000000000018,,210000000,485,0.026,0.00000001,0.00002,In to V- Output,0.0069,9,11
MAX4380,0.000000000002,,210000000,485,0.02,0.00000001,0.00002,Output,0.0055,4.5,11
MAX4381,0.000000000002,,210000000,485,0.02,0.00000001,0.00002,Output,0.0055,4.5,11
MAX4382,0.000000000002,,210000000,485,0.02,0.00000001,0.00002,Output,0.0055,4.5,11
MAX4383,0.000000000002,,210000000,485,0.02,0.00000001,0.00002,Output,0.0055,4.5,11
MAX4384,0.000000000002,,210000000,485,0.02,0.00000001,0.00002,Output,0.0055,4.5,11
MAX4470,,,9000,0.002,0.007,0.00000012,0.0000000015,Output Only,0.00000075,1.8,5.5
MAX4471,,,9000,0.002,0.007,0.00000012,0.0000000015,Output Only,0.00000075,1.8,5.5
MAX4472,,,9000,0.002,0.007,0.00000012,0.0000000015,Output Only,0.00000075,1.8,5.5
AD8074,,600000000,600000000,1600,0.027,0.0000000195,0.0000095,,0.024,9,11
AD8075,,550000000,550000000,1350,0.04,0.000000022,0.00001,,0.024,9,11
LT1494,0.00000000000001,2700,,0.001,0.000375,0.000000185,0.000000001,Both,0.000001,2.1,36
LT1672,0.00000000000001,12000,,0.005,0.000375,0.000000185,0.000000001,Both,0.0000015,2.1,36
LT1673,0.00000000000001,12000,,0.005,0.000375,0.000000185,0.000000001,Both,0.0000015,2.1,36
LT1674,0.00000000000001,12000,,0.005,0.000375,0.000000185,0.000000001,Both,0.0000015,2.1,36
LT6301,0.0000000000008,200000000,200000000,600,0.005,0.000000008,0.000004,,0.004,8,27
MAX4352,0.0000000000005,,80000000,240,0.012,0.000000015,0.000003,Output,0.00062,2.7,5.25
MAX4353,0.0000000000005,,80000000,240,0.012,0.000000015,0.000003,Output,0.00062,2.7,5.25
MAX4452,0.0000000000005,,200000000,95,0.012,0.000000015,0.000003,Output,0.00062,2.7,5.25
MAX4453,0.0000000000005,,200000000,95,0.012,0.000000015,0.000003,Output,0.00062,2.7,5.25
MAX4454,0.0000000000005,,200000000,95,0.012,0.000000015,0.000003,Output,0.00062,2.7,5.25
MAX4481,0.000000000000001,,140000,0.08,0.0055,0.0000001,0.0000000001,Output Only,0.000045,2.5,5.5
AD8567,0.0000000000008,5000000,,6,0.01,0.000000025,0.0000006,Both,0.00085,4,17
AD8601,0.00000000000005,8400000,,6,0.0005,0.000000018,0.00000000006,Both,0.00075,2.7,5.5
AD8604,0.00000000000005,8400000,,6,0.0006,0.000000018,0.00000000006,Both,0.00075,2.7,5.5
LT1797,0.00000000000015,10000000,,2.25,0.0015,0.00000002,0.0000003,Both,0.0011,2.1,12.6
LTC2050,0.000000000000003,3000000,,2,0.000003,,0.000000000075,In to V- Output,0.0008,2.7,6
LTC2052,,3000000,,2,0.000003,,0.000000000075,In to V- Output,0.00085,2.7,6
LTC2052HV,,3000000,,2,0.000003,,0.000000000075,In to V- Output,0.00085,2.7,11
MAX4412,0.0000000000007,,500000000,220,0.009,0.000000013,0.000004,Output,0.0017,2.7,5.5
MAX4413,0.0000000000007,,500000000,220,0.009,0.000000013,0.000004,Output,0.0017,2.7,5.5
MAX4414,0.0000000000006,,400000000,200,0.006,0.00000001,0.000004,Output,0.0016,2.7,5.5
MAX4416,0.0000000000006,,400000000,200,0.006,0.00000001,0.000004,Output,0.0016,2.7,5.5
MAX4417,0.0000000000006,,150000000,470,0.006,0.00000001,0.000004,Output,0.0016,2.7,5.5
MAX4418,0.0000000000006,,400000000,200,0.006,0.00000001,0.000004,Output,0.0016,2.7,5.5
MAX4419,0.0000000000006,,150000000,470,0.006,0.00000001,0.000004,Output,0.0016,2.7,5.5
MAX4480,0.000000000000001,,140000,0.08,0.0055,0.0000001,0.0000000001,Output Only,0.000045,2.5,5.5
MAX4482,0.000000000000001,,140000,0.08,0.0055,0.0000001,0.0000000001,Output Only,0.000045,2.5,5.5
MAX4483,0.000000000000001,,140000,0.08,0.0055,0.0000001,0.0000000001,Output Only,0.000045,2.5,5.5
MAX4484,0.000000000000001,,7000000,20,0.005,0.000000029,0.0000000001,Output Only,0.0019,2.7,5.5
MAX4486,0.000000000000001,,7000000,20,0.007,0.000000029,0.0000000001,Output Only,0.0019,2.7,5.5
MAX4487,0.000000000000001,,7000000,20,0.009,0.000000029,0.0000000001,Output Only,0.0019,2.7,5.5
MAX4493,0.0000000000002,,5000000,3,0.005,0.000000008,0.000001,Output Only,0.00077,4.5,11
OP727,0.00000000000013,700000,,0.2,0.0003,0.000000015,0.00000001,Output,0.00029,3,30
OP747,0.00000000000013,700000,,0.2,0.0003,0.000000015,0.00000001,Output,0.00029,3,30
AD8018,0.00000000001,,130000000,300,0.015,0.0000000045,0.000008,Output,0.009,3.3,8
AD8602,0.00000000000005,8400000,,6,0.0005,0.000000018,0.00000000006,Both,0.00075,2.7,5.5
LT1491A,0.000000000000015,180000,,0.06,0.001,0.00000005,,Both,0.00004,2,44
LT1806,0.0000000000015,325000000,,125,0.00055,0.0000000035,0.000004,Both,0.009,2.5,12.6
MAX4403,0.000000000000001,,800000,1,0.0055,0.000000036,0.0000000001,Output Only,0.00032,2.5,5.5
MAX4430,0.0000000000018,,180000000,100,0.005,0.0000000028,0.00003,In to V-,0.011,9,11
MAX4432,0.0000000000018,,180000000,100,0.005,0.0000000028,0.00003,In to V-,0.011,9,11
LT1395,0.000000000006,,400000000,800,0.012,0.0000000045,,,0.0046,3,12.6
LT1469,0.0000000000006,90000000,,22,0.000125,0.000000005,0.00000004,,0.0041,6,36
LT1490A,0.000000000000015,180000,,0.06,0.0005,0.00000005,0.000000008,Both,0.00004,2,44
LT1677,0.0000000000003,7200000,,2.5,0.00006,0.0000000032,0.00000002,Both,0.00275,2.5,44
LT1809,0.000000000005,160000000,,300,0.0025,0.000000016,0.000008,Both,0.0125,2.5,12.6
